,site_name,site_url,park_name,park_url,season_of_use,fee_info,contact_info,info_center,latitude,longitude,directions,restrooms,water,overview,amenities
0,Atáxam Mámta’ash Campground,https://www.fs.usda.gov/r05/cleveland/recreation/ataxam-mamtaash-campground,Cleveland National Forest,https://www.fs.usda.gov/r05/cleveland,Tentatively July 30th - March 31th,"$12/Night for single unit, $5/Night for extra vehicle
$12/Night for single unit, $5/Night for extra vehicle",,,33.348483,-116.658668,,Restrooms are available at this site.,Potable water is not available at this site.,,
1,Blue Jay Campground,https://www.fs.usda.gov/r05/cleveland/recreation/blue-jay-campground,Cleveland National Forest,https://www.fs.usda.gov/r05/cleveland,,"$20/Night for single unit and $5/Night for extra vehicle
$20/Night for single unit and $5/Night for extra vehicle",,"Trabuco Ranger District
Address:
1147 East Sixth Street Corona, CA 92879
Phone:
951-736-1811
Hours:
Monday through Friday- 8:00am to 4:30pm  (Closed on
federal holidays
)
Office Email:
SM.FS.TrabucoRD@usda.gov",33.6516,-117.4523,,Restrooms are available at this site.,Potable water is not available at this site.,,
2,Bobcat Meadow Campground,https://www.fs.usda.gov/r05/cleveland/recreation/bobcat-meadow-campground,Cleveland National Forest,https://www.fs.usda.gov/r05/cleveland,Year Round,"Federal Recreational Lands Pass/Adventure Pass Required: To purchase a pass for this location visit a Cleveland National Forest office, find a local Adventure Pass vendor or purchase online at https://www.recreation.gov/. (NO CASH accepted)
Federal Recreational Lands Pass/
Adventure Pass Required
: To purchase a pass for this location visit a Cleveland National Forest office, find a local
Adventure Pass vendor
or purchase online at
https://www.recreation.gov/
.
$15 for Single Site and $30 for Double site. Sites are Reservable on Recreation.gov (NO CASH accepted)",,,32.7125,-116.5563,,Restrooms are available at this site.,Potable water is not available at this site.,,
3,Boulder Oaks Campground,https://www.fs.usda.gov/r05/cleveland/recreation/boulder-oaks-campground,Cleveland National Forest,https://www.fs.usda.gov/r05/cleveland,,"$14/Night for single unit, $28/Night for double unit, $5/Night for extra vehicle. Equestrian sites are $16/Night single unit and $32/Night double unit.
$20/Night for Single Site
$40/ Double Site
$5/Night for extra vehicle.
Equestrian sites are $25/ Night Single Equestrian Site, $50/ Night for Double Equestrian Site, $5/Night for extra vehicle.
PCT Walk-in Site $5.00 per night.",,,32.7297,-116.4828,"From I-8, take exit 51, Buckman Springs Rd and head southwest, then turn right onto Morena Stokes Valley Road and drive 5.8 miles to Four Corners Staging Area. Then, turn left onto Los Pinos Road and drive 1 mile to the Bobcat Meadow Campground on the left.",Restrooms are available at this site.,Potable water is available at this site.,,
4,Burnt Rancheria Campground,https://www.fs.usda.gov/r05/cleveland/recreation/burnt-rancheria-campground,Cleveland National Forest,https://www.fs.usda.gov/r05/cleveland,April,"Campsites $28/Night for single unit
Extra vehicle $10 (over 2 allowed with each campsite/night)
Parking at Day Use Parking Area $5fee; leaving before 6PM
Day Use parking at campsite $10
***A reservation charge is added to the price of the site usin
Campsites $35/Night for single unit (one vehicle included)
Extra vehicle $10 (over 2 allowed with each campsite/night)
Parking at Day Use Parking Area $5 free; leaving before 6PM
Day Use parking at campsite $10 fee
***A reservation charge is added to the price of the site using Recreation.gov***",,,32.8605,-116.4172,,Restrooms are available at this site.,Potable water is available at this site.,,
5,Cibbets Flat Campground,https://www.fs.usda.gov/r05/cleveland/recreation/cibbets-flat-campground,Cleveland National Forest,https://www.fs.usda.gov/r05/cleveland,,"$14/Night for single unit, $28/Night for double unit
$20/Night for single unit
$40/Night for double unit
$5 Day Use Fee",,,32.7772,-116.4466,,Restrooms are available at this site.,Potable water is available at this site.,,
6,Corral Canyon Campground,https://www.fs.usda.gov/r05/cleveland/recreation/corral-canyon-campground,Cleveland National Forest,https://www.fs.usda.gov/r05/cleveland,Year Round,"Federal Recreational Lands Pass/Adventure Pass Required: To purchase a pass for this location visit a Cleveland National Forest office, find a local Adventure Pass vendor or purchase online at https://www.recreation.gov/. (NO CASH accepted)
Federal Recreational Lands Pass/
Adventure Pass Required
: To purchase a pass for this location visit a Cleveland National Forest office, find a local
Adventure Pass vendor
or purchase online at
https://www.recreation.gov/
.
$15 for Single Site and $30 for Double site. Sites are Reservable on Recreation.gov (NO CASH accepted)",,,32.7113,-116.5725,"From I-8, take exit 51, Buckman Springs Rd and head southwest, then turn right onto Morena Stokes Valley Road and drive 5.8 miles to Four Corners Staging Area. Continue straight on Morena Stokes Valley Road for another 1.4 miles to access Corral Canyon Campground on the left.",Restrooms are available at this site.,Potable water is not available at this site.,,
7,Crestline Group Campground,https://www.fs.usda.gov/r05/cleveland/recreation/crestline-group-campground,Cleveland National Forest,https://www.fs.usda.gov/r05/cleveland,May 15 – November 30,"A reservation charge is added to the price of the site.
$75/Night
A reservation charge is added to the price of the site.
$75/Night",,,33.312707,-116.863856,"From San Diego, California, follow U.S. Highway 15 north to State Highway 76. Proceed east to County Road S6. Take S6 north to the top of Palomar Mountain. Group campground is at the junction of County Roads S6 and S7.",Restrooms are available at this site.,Potable water is available at this site.,,
8,Dripping Springs Campground,https://www.fs.usda.gov/r05/cleveland/recreation/dripping-springs-campground,Cleveland National Forest,https://www.fs.usda.gov/r05/cleveland,,"$15/Night for single unit
$15/Night for single unit",,,33.4608,-116.9702,,Restrooms are available at this site.,Potable water is not available at this site.,,
9,El Cariso Campground,https://www.fs.usda.gov/r05/cleveland/recreation/el-cariso-campground,Cleveland National Forest,https://www.fs.usda.gov/r05/cleveland,Year Round,"$15/Night for single unit
$15/Night for single unit",,,33.6526,-117.4111,,Restrooms are available at this site.,Potable water is not available at this site.,,
10,El Prado Group Campground,https://www.fs.usda.gov/r05/cleveland/recreation/el-prado-group-campground,Cleveland National Forest,https://www.fs.usda.gov/r05/cleveland,Memorial Day Weekend - Columbus Day Weekend,"A reservation charge is added to the price of the site.
Fee varies with site
A reservation charge is added to the price of the site.
Fee varies with site",,,32.8897,-116.4539,,Restrooms are available at this site.,Potable water is available at this site.,,
11,El Prado Group Campground - Buckwheat,https://www.fs.usda.gov/r05/cleveland/recreation/el-prado-group-campground-buckwheat,Cleveland National Forest,https://www.fs.usda.gov/r05/cleveland,Memorial Day Weekend - Columbus Day Weekend,"A reservation charge is added to the price of the site.
Fee varies with site
A reservation charge is added to the price of the site.
$90/Night",,,32.8897,-116.4539,,Restrooms are available at this site.,Potable water is available at this site.,,
12,Fry Creek Campground,https://www.fs.usda.gov/r05/cleveland/recreation/fry-creek-campground,Cleveland National Forest,https://www.fs.usda.gov/r05/cleveland,April 1,"Fees: $15/Night for single unit, $5/Night for extra vehicle.
Fees: $15/Night for single unit, $5/Night for extra vehicle.",,,33.3446,-116.8802,,Restrooms are available at this site.,Potable water is not available at this site.,,
13,Horse Heaven Group Campground,https://www.fs.usda.gov/r05/cleveland/recreation/horse-heaven-group-campground,Cleveland National Forest,https://www.fs.usda.gov/r05/cleveland,Memorial Day - Labor Day Weekend,"A reservation charge is added to the price of the site
Fees varies with site
A reservation charge is added to the price of the site
Fees varies with site",,,32.8861,-116.4408,,Restrooms are available at this site.,Potable water is not available at this site.,,
14,Laguna Campground,https://www.fs.usda.gov/r05/cleveland/recreation/laguna-campground,Cleveland National Forest,https://www.fs.usda.gov/r05/cleveland,,"Campsites $28/Night for single unit
Extra vehicle $10 (over 2 allowed with each campsite/night)
Parking at Day Use Parking Area $5fee; leaving before 6PM
Day Use parking at campsite $10
***A reservation charge is added to the price of the site usin
Campsites $35/Night for single unit (one vehicle included)
Extra vehicle $10 (over 2 allowed with each campsite/night)
Parking at Day Use Parking Area $8 fee; leaving before 6PM
Day Use parking at campsite $13
***A reservation charge is added to the price of the site using Recreation.gov***",,,32.8881,-116.4483,,Restrooms are available at this site.,Potable water is not available at this site.,,
15,Oak Grove Campground,https://www.fs.usda.gov/r05/cleveland/recreation/oak-grove-campground,Cleveland National Forest,https://www.fs.usda.gov/r05/cleveland,,"$15/Night for single unit, $30/Night for double unit, $5/Night for extra vehicle
$15/Night for single unit, $30/Night for double unit, $5/Night for extra vehicle",,,33.3863,-116.7891,,Restrooms are available at this site.,Potable water is not available at this site.,,
