,site_name,site_url,park_name,park_url,season_of_use,fee_info,contact_info,info_center,latitude,longitude,directions,restrooms,water,overview,amenities
0,Airport Flat Campground,https://www.fs.usda.gov/r05/eldorado/recreation/airport-flat-campground,Eldorado National Forest,https://www.fs.usda.gov/r05/eldorado,June - October,No Fees are required for this site.,,"Placerville Ranger District
Address:
4260 Eight Mile Road Camino, CA 95709
Phone:
(530) 644-2324
Hours:
7 days a week from 8 AM until 4:30 PM including holidays (Summer Hours)",38.985255,-120.380386,,Restrooms are available at this site.,Potable water is not available at this site.,,
1,Azalea Cove Campground,https://www.fs.usda.gov/r05/eldorado/recreation/azalea-cove-campground,Eldorado National Forest,https://www.fs.usda.gov/r05/eldorado,June - September,No Fees are required for this site.,,"Placerville Ranger District
Address:
4260 Eight Mile Road Camino, CA 95709
Phone:
(530) 644-2324
Hours:
7 days a week from 8 AM until 4:30 PM including holidays (Summer Hours)",38.881372,-120.369814,,Restrooms are available at this site.,Potable water is not available at this site.,,
2,Bear Group Campground,https://www.fs.usda.gov/r05/eldorado/recreation/bear-group-campground,Eldorado National Forest,https://www.fs.usda.gov/r05/eldorado,June - September,"$115/25 person (Junco, Chipmunk, Smokey)
$145/50 person (Kokanee)
Interagency Senior and Access passes are not accepted for group units.",,"Amador Ranger District
Address:
26820 Silver Drive Pioneer, CA 95667
Phone:
(209) 259-3774
Hours:
8 AM until 4:30 PM, Tuesdays through Saturdays until September (Closed on
federal holidays
)",38.533185,-120.230826,,Restrooms are available at this site.,Potable water is available at this site.,,
3,Big Meadows Campground,https://www.fs.usda.gov/r05/eldorado/recreation/big-meadows-campground,Eldorado National Forest,https://www.fs.usda.gov/r05/eldorado,June - October,"$10/ single site
$20/ double site.
Site Information
:
Number of Sites = 53
Double Site # = 39
Tent Site # = 15, 21, 25, 51, 53
Tent, Trailer, or R.V. Site # = 1‐14, 16, 18‐20, 22‐24, 2649, 50, 52, 54",,"Georgetown Ranger District
Address:
7600 Wentworth Springs Rd Georgetown, CA 95634
Phone:
(530) 333-4312 / Rock Creek Trail Status:  (530) 334-6477
Hours:
8 AM until 4:30 PM, Tuesdays through Fridays (Closed on
federal holidays
)",39.074505,-120.427383,,Restrooms are available at this site.,Potable water is available at this site.,,
4,Big Silver Group Campground,https://www.fs.usda.gov/r05/eldorado/recreation/big-silver-group-campground,Eldorado National Forest,https://www.fs.usda.gov/r05/eldorado,June - September,$50 - 50 people,,"Placerville Ranger District
Address:
4260 Eight Mile Road Camino, CA 95709
Phone:
(530) 644-2324
Hours:
7 days a week from 8 AM until 4:30 PM including holidays (Summer Hours)",38.880112,-120.360849,,Restrooms are available at this site.,Potable water is not available at this site.,,
5,Black Oak Group Campground,https://www.fs.usda.gov/r05/eldorado/recreation/black-oak-group-campground,Eldorado National Forest,https://www.fs.usda.gov/r05/eldorado,June - September,"There are four group sites at this facility:
Unit #1 = $135/night, 50 people maximum, No trailers.
Unit #2 = $145/night, 75 people maximum, Self-contained vehicles only.
Unit #3 = $135/night, 50 people maximum, No trailers.
Unit #4 = $105/night, 25 people maximum, No trailers. Pet and dump fees.",,"Georgetown Ranger District
Address:
7600 Wentworth Springs Rd Georgetown, CA 95634
Phone:
(530) 333-4312 / Rock Creek Trail Status:  (530) 334-6477
Hours:
8 AM until 4:30 PM, Tuesdays through Fridays (Closed on
federal holidays
)",38.90339,-120.586048,,Restrooms are available at this site.,Potable water is available at this site.,,
6,Camino Cove Campground,https://www.fs.usda.gov/r05/eldorado/recreation/camino-cove-campground,Eldorado National Forest,https://www.fs.usda.gov/r05/eldorado,June - October,No Fees are required for this site.,,"Placerville Ranger District
Address:
4260 Eight Mile Road Camino, CA 95709
Phone:
(530) 644-2324
Hours:
7 days a week from 8 AM until 4:30 PM including holidays (Summer Hours)",38.878704,-120.428467,,Restrooms are available at this site.,Potable water is not available at this site.,,
7,Caples Lake Campground,https://www.fs.usda.gov/r05/eldorado/recreation/caples-lake-campground,Eldorado National Forest,https://www.fs.usda.gov/r05/eldorado,late June - September,"$36/single
$72/double
Site Information
:
Number of Sites = 34
Walk-In Tent Single Site # =  1, 3, 6-8, 16-18, 24, 26
Walk-In Tent Double Site # = 22
Tent Site # = 2, 4, 5, 9-11, 13-15,19-21
Tent, Trailer, or R.V. Site # = 12, 23, 25, 27-30",,"Amador Ranger District
Address:
26820 Silver Drive Pioneer, CA 95667
Phone:
(209) 259-3774
Hours:
8 AM until 4:30 PM, Tuesdays through Saturdays until September (Closed on
federal holidays
)",38.704164,-120.052795,,Restrooms are available at this site.,Potable water is available at this site.,,
8,Capps Crossing Group Campground,https://www.fs.usda.gov/r05/eldorado/recreation/capps-crossing-group-campground,Eldorado National Forest,https://www.fs.usda.gov/r05/eldorado,,"$165 group
$28 single
$56 double
$5/extra vehicle fee",,"Placerville Ranger District
Address:
4260 Eight Mile Road Camino, CA 95709
Phone:
(530) 644-2324
Hours:
7 days a week from 8 AM until 4:30 PM including holidays (Summer Hours)",38.651361,-120.407831,,Restrooms are available at this site.,Potable water is not available at this site.,,
9,China Flat Campground,https://www.fs.usda.gov/r05/eldorado/recreation/china-flat-campground,Eldorado National Forest,https://www.fs.usda.gov/r05/eldorado,Memorial Weekend to Labor Day,"$36/single
$72/double
Site Information
:
Number of Sites = 19
Double Site # = 7
Tent Site # = 5, 6, 9, 14, 17, 18
Tent, Trailer, or R.V. Site # = 1‐4, 8, 10‐13, 15, 16",,"Placerville Ranger District
Address:
4260 Eight Mile Road Camino, CA 95709
Phone:
(530) 644-2324
Hours:
7 days a week from 8 AM until 4:30 PM including holidays (Summer Hours)",38.755033,-120.267988,,Restrooms are available at this site.,Potable water is available at this site.,,
