,site_name,site_url,park_name,park_url,season_of_use,fee_info,contact_info,info_center,latitude,longitude,directions,restrooms,water,overview,amenities,body_of_water
0,Angel Creek Campground,https://www.fs.usda.gov/r04/humboldt-toiyabe/recreation/angel-creek-campground,Humboldt-Toiyabe National Forest,https://www.fs.usda.gov/r04/humboldt-toiyabe,"May - November, as weather and conditions allow.","Overnight Use:
Single Site: $17 per night
Double Site: $34 per night",,"Mountain City-Ruby Mountains-Jarbidge Ranger District's Wells Office
Address:
140 Pacific Avenue, Wells, NV 89835
Phone:
775-752-3357
Hours:
Mon.-Fri. 8 a.m. to 4:30 p.m. PST (Closed on
federal holidays
)",41.0257,-115.0551,,Restrooms are available at this site.,Potable water is available at this site.,,,True
1,Angel Lake Campground,https://www.fs.usda.gov/r04/humboldt-toiyabe/recreation/angel-lake-campground,Humboldt-Toiyabe National Forest,https://www.fs.usda.gov/r04/humboldt-toiyabe,"June - October, as weather and conditions allow.","Overnight Use:
Single Site: $18 per night
Double Site: $36 per night",,"Mountain City-Ruby Mountains-Jarbidge Ranger District's Wells Office
Address:
140 Pacific Avenue, Wells, NV 89835
Phone:
775-752-3357
Hours:
Mon.-Fri. 8 a.m. to 4:30 p.m. PST (Closed on
federal holidays
)",41.0256,-115.0854,,Restrooms are available at this site.,Potable water is not available at this site.,,,True
2,Belmont Campground,https://www.fs.usda.gov/r04/humboldt-toiyabe/recreation/belmont-campground,Humboldt-Toiyabe National Forest,https://www.fs.usda.gov/r04/humboldt-toiyabe,"Mid May - late October, as weather and conditions allow.",No fees are required for this site,,"Austin-Tonopah Ranger District's Tonopah Office
Address:
1400 S. Erie Main Street, Tonopah, NV 89049
Phone:
775-482-6286
Hours:
Mon.-Fri. 8 a.m. to 4:30 p.m. PST (Closed on
federal holidays
)",38.59089,-116.89078,"From Belmont, NV, south on NV-82 for 1.3 miles, then right onto dirt road for 0.7 miles.",,Potable water is not available at this site.,,,False
3,Berry Creek Dispersed Campground,https://www.fs.usda.gov/r04/humboldt-toiyabe/recreation/berry-creek-dispersed-campground,Humboldt-Toiyabe National Forest,https://www.fs.usda.gov/r04/humboldt-toiyabe,"End of May - mid-October, as weather and conditions allow",No fees are required for this site,,"Ely Ranger District
Address:
825 Avenue E, Ely, NV 89301
Phone:
775-289-3031
Hours:
Mon.-Fri. 8 a.m. to 4:30 p.m. PST (Closed on
federal holidays
)",38.8218,-114.6074,"From Ely, Nevada, take US-93 north to the town of McGill. From McGill, keep going north on US-93, 5 miles to Duck Creek Basin turnoff. Proceed east on Duck Creek Basin road and turn left at Berry Creek road (NF-424/568).",Restrooms are available at this site.,Potable water is not available at this site.,,,False
4,Big Bend Campground,https://www.fs.usda.gov/r04/humboldt-toiyabe/recreation/big-bend-campground,Humboldt-Toiyabe National Forest,https://www.fs.usda.gov/r04/humboldt-toiyabe,"May - November, as weather and conditions allow.","Overnight Use:
Single Site: $8 per night",,"Mountain City-Ruby Mountains-Jarbidge Ranger District's Elko Office
Address:
660 South 12th Street, Ste. 108, Elko, NV 89801
Phone:
775-738-5171
Hours:
Open Mon.-Fri. 8 a.m. to 4:30 p.m. PST (Closed on
federal holidays
)",41.765573,-115.7015,,Restrooms are available at this site.,Potable water is not available at this site.,,,False
5,Big Creek Campground,https://www.fs.usda.gov/r04/humboldt-toiyabe/recreation/big-creek-campground,Humboldt-Toiyabe National Forest,https://www.fs.usda.gov/r04/humboldt-toiyabe,"Mid May - late October, as weather and conditions allow.",No fees are required for this site,,"Austin-Tonopah Ranger District's Austin Office
Address:
100 Midas Canyon Road, Austin, NV 89310
Phone:
775-964-2671
Hours:
Mon.-Fri. 8 a.m. to 4:30 p.m. PST (Closed on
federal holidays
)",39.34639006,-117.1361099,"1. Take US 50 West. Approximately one mile from Austin, take the Big Creek Campground turnoff.",Restrooms are available at this site.,Potable water is not available at this site.,,,True
6,Bird Creek Campground,https://www.fs.usda.gov/r04/humboldt-toiyabe/recreation/bird-creek-campground,Humboldt-Toiyabe National Forest,https://www.fs.usda.gov/r04/humboldt-toiyabe,"End of May to mid-October, as weather and conditions allow.","Overnight Use:
Single Site: $10 per night
Double Site: $15 per night
Double Site: $20 per night
Group Site: $45 per night",,"Ely Ranger District
Address:
825 Avenue E, Ely, NV 89301
Phone:
775-289-3031
Hours:
Mon.-Fri. 8 a.m. to 4:30 p.m. PST (Closed on
federal holidays
)",39.4644,-114.6507,"From Ely, Nevada, take highway 93 north to the town of McGill.  From McGill, keep going north on Highway 93, 5 miles to Duck Creek Basin turnoff. Proceed east on Duck Creek Basin road and turn left at sign for Bird Creek Recreation area.",Restrooms are available at this site.,Potable water is available at this site.,,,False
7,Bob Scott Campground,https://www.fs.usda.gov/r04/humboldt-toiyabe/recreation/bob-scott-campground,Humboldt-Toiyabe National Forest,https://www.fs.usda.gov/r04/humboldt-toiyabe,"Mid May to late October, as weather and conditions allow.","Overnight Use:
Single Site $10 per night",,"Austin-Tonopah Ranger District's Austin Office
Address:
100 Midas Canyon Road, Austin, NV 89310
Phone:
775-964-2671
Hours:
Mon.-Fri. 8 a.m. to 4:30 p.m. PST (Closed on
federal holidays
)",39.4551,-117.0011,,Restrooms are available at this site.,Potable water is not available at this site.,,,False
8,Bootleg Campground,https://www.fs.usda.gov/r04/humboldt-toiyabe/recreation/bootleg-campground,Humboldt-Toiyabe National Forest,https://www.fs.usda.gov/r04/humboldt-toiyabe,"Late May - mid-September, as weather and conditions allow.","Overnight Use:
Single Site: $22 per night
Additional Vehicle Fee: $6 per vehicle per night",,"Bridgeport Ranger District
Address:
75694 US-395 HC 62, Bridgeport, CA 93517
Phone:
760-932-7070
Hours:
Mon.-Fri. 8 a.m. to 4:30 p.m. PST (Closed on
federal holidays
)",38.416477,-119.450189,"From Bridgeport, drive approximately 22 miles north on U.S. Highway 395. Campground is on left hand side of highway in Walker Canyon.",Restrooms are available at this site.,Potable water is available at this site.,,,False
9,Buckeye Campground,https://www.fs.usda.gov/r04/humboldt-toiyabe/recreation/buckeye-campground,Humboldt-Toiyabe National Forest,https://www.fs.usda.gov/r04/humboldt-toiyabe,"Late May to late September, as weather and conditions allow.","Overnight Use
Single Site: $20 per night
Extra Vehicle Fee: $6 per night",,"Bridgeport Ranger District
Address:
75694 US-395 HC 62, Bridgeport, CA 93517
Phone:
760-932-7070
Hours:
Mon.-Fri. 8 a.m. to 4:30 p.m. PST (Closed on
federal holidays
)",38.237593,-119.343262,,Restrooms are available at this site.,Potable water is not available at this site.,,,False
