,site_name,site_url,park_name,park_url,season_of_use,fee_info,contact_info,info_center,latitude,longitude,directions,restrooms,water,overview,amenities,body_of_water
0,Alder Creek Campground,https://www.fs.usda.gov/r05/lassen/recreation/alder-creek-campground,Lassen National Forest,https://www.fs.usda.gov/r05/lassen,"Generally, this campground is open to first come first serve camping through Labor Day weekend.","Overnight Use:
Single Site: $10 per night
Fee must be paid upon arrival and before each night of camping. Single campsites are limited to 1 vehicle and 8 people per site.",,"Almanor Ranger District
Address:
900 E. Hwy 36 Chester, CA 96020
Phone:
(530) 258-2141
Hours:
Monday-Friday: 8:00 a.m. to 4:30 p.m. (Closed on
federal holidays
)",40.209419,-121.496322,,Restrooms are available at this site.,Potable water is not available at this site.,,,False
1,Almanor Campground,https://www.fs.usda.gov/r05/lassen/recreation/almanor-campground,Lassen National Forest,https://www.fs.usda.gov/r05/lassen,Almanor Campground is generally open from Memorial Day to Labor Day. Conditions may change depending on weather and other factors.,"Overnight Use:
Single Site: $18 per night",,"Almanor Ranger District
Address:
900 E. Hwy 36 Chester, CA 96020
Phone:
(530) 258-2141
Hours:
Monday-Friday: 8:00 a.m. to 4:30 p.m. (Closed on
federal holidays
)",40.217737,-121.176071,"GPS Info. (Latitude, Longitude):40.21694, -121.1677840°13'1""N, 121°10'4""WFrom Chester, take Highway 36 west to Highway 89 South. Turn left on Highway 89 and continue about 6 miles, to Almanor Drive West (not to be confused with Almanor West development and Almanor West Drive). Turn left on Almanor Drive West (directly across from the Almanor Group Camp and rest area) and continue approximately 1 mile to Almanor South Campground.For the Almanor Group camp. From Chester, take Highway 89 South. Turn left on Highway 89 and continue about 6 miles to Almanor Drive west (not to be confused with Almanor West development and Almanor West Drive). Turn right into Almanor Group Camp and rest area ( across from Almanor West Drive).",Restrooms are available at this site.,Potable water is available at this site.,,,True
2,Battle Creek Campground,https://www.fs.usda.gov/r05/lassen/recreation/battle-creek-campground,Lassen National Forest,https://www.fs.usda.gov/r05/lassen,This campground is generally open from mid-May through September. Open season subject to change based on weather and other factors.,"Overnight Use:
Single Site: $18 per night",,"Almanor Ranger District
Address:
900 E. Hwy 36 Chester, CA 96020
Phone:
(530) 258-2141
Hours:
Monday-Friday: 8:00 a.m. to 4:30 p.m. (Closed on
federal holidays
)",40.350076,-121.62849,,Restrooms are available at this site.,Potable water is available at this site.,,,False
3,Big Pine Campground,https://www.fs.usda.gov/r05/lassen/recreation/big-pine-campground,Lassen National Forest,https://www.fs.usda.gov/r05/lassen,April - October,"Overnight Use:
Single Site: $12 per night
Additional Vehicle Fee: $5 per vehicle per night
$12 per night for camping, maximum 2 vehicles per site. Each additional vehicle $5 per night.",,,40.633619,-121.466592,,Restrooms are available at this site.,Potable water is available at this site.,,,False
4,Black Rock Campground,https://www.fs.usda.gov/r05/lassen/recreation/black-rock-campground,Lassen National Forest,https://www.fs.usda.gov/r05/lassen,,,,"Almanor Ranger District
Address:
900 E. Hwy 36 Chester, CA 96020
Phone:
(530) 258-2141
Hours:
Monday-Friday: 8:00 a.m. to 4:30 p.m. (Closed on
federal holidays
)",40.183723,-121.712129,,Restrooms are available at this site.,Potable water is not available at this site.,,,False
5,Bogard Campground,https://www.fs.usda.gov/r05/lassen/recreation/bogard-campground,Lassen National Forest,https://www.fs.usda.gov/r05/lassen,,"No fees are required for this site
No fee.",,,40.3574928,-121.098122,,Restrooms are available at this site.,Hand pumped water available.,,,False
6,Bridge Campground,https://www.fs.usda.gov/r05/lassen/recreation/bridge-campground,Lassen National Forest,https://www.fs.usda.gov/r05/lassen,April - October,"Overnight Use:
Single Site: $10 per night
Additional Vehicle Fee: $5 per vehicle per night
Fee for overnight camping is $10, maximum 2 vehicles per site. Each additional vehicle is $5 per night. No fee for day use parking.",,,40.73112,-121.439126,,Restrooms are available at this site.,Potable water is not available at this site.,,,False
7,Butte Meadows Campground,https://www.fs.usda.gov/r05/lassen/recreation/butte-meadows-campground,Lassen National Forest,https://www.fs.usda.gov/r05/lassen,Late April/Early May - October,"Overnight Use:
Single Site: $12 per night",,,40.079274,-121.558146,,Restrooms are available at this site.,Potable water is available at this site.,,,False
8,Cave Campground,https://www.fs.usda.gov/r05/lassen/recreation/cave-campground,Lassen National Forest,https://www.fs.usda.gov/r05/lassen,April - October,"Overnight Use:
Single Site: $16 per night
Additional Vehicle Fee: $5 per vehicle per night
$16.00 per night.  Maximum two vehicles per site, extra vehicles $5 per night.",,,40.684943,-121.423284,,Restrooms are available at this site.,Potable water is available at this site.,,,False
9,Cherry Hill Campground,https://www.fs.usda.gov/r05/lassen/recreation/cherry-hill-campground,Lassen National Forest,https://www.fs.usda.gov/r05/lassen,This campground is generally open from mid-May through September. Open season subject to change based on weather and other factors.,"Overnight Use:
Single Site: $14 per night",,"Almanor Ranger District
Address:
900 E. Hwy 36 Chester, CA 96020
Phone:
(530) 258-2141
Hours:
Monday-Friday: 8:00 a.m. to 4:30 p.m. (Closed on
federal holidays
)",40.10259,-121.499759,,Restrooms are available at this site.,Potable water is available at this site.,,,False
