,site_name,site_url,park_name,park_url,season_of_use,fee_info,contact_info,info_center,latitude,longitude,directions,restrooms,water,overview,amenities,body_of_water
0,Atchison Campground,https://www.fs.usda.gov/r05/mendocino/recreation/atchison-campground,Mendocino National Forest,https://www.fs.usda.gov/r05/mendocino,,No fees are required for this site,,,39.730206,-122.902285,,Restrooms closed temporarily until they can be serviced.,Potable water is not available at this site.,,,False
1,Bear Creek Campground,https://www.fs.usda.gov/r05/mendocino/recreation/bear-creek-campground,Mendocino National Forest,https://www.fs.usda.gov/r05/mendocino,,No fees are required for this site,,,39.32200578,-122.8372268,,Restrooms are available at this site.,Potable water is not available at this site.,,,False
2,Camp Discovery Group Campground,https://www.fs.usda.gov/r05/mendocino/recreation/camp-discovery-group-campground,Mendocino National Forest,https://www.fs.usda.gov/r05/mendocino,,"Overnight Use:
Group Site: $175 per night (1 -100 people)
Overnight Use: 1-100 people, $175 per night.
Overnight Use hours: 2:00 PM -11:00 AM.
Maximum capacity is 100 people. To request an early check in time, please call Paige Whitney, Assistant District Recreation Officer, at 530-934-1167.",,,40.155042,-122.197801,"Arriving from the South, take the Lassen, Highway 36 exit at Red Bluff or coming from the Redding area heading South on I-5 take the Antelope Blvd - Lassen Highway 36 exit, there will be a Forest Service sign on right. Take the first road to the right which is Sale Lane (at the lights).",Restrooms are available at this site.,Potable water is not available at this site.,,,True
3,Cedar Camp Campground,https://www.fs.usda.gov/r05/mendocino/recreation/cedar-camp-campground,Mendocino National Forest,https://www.fs.usda.gov/r05/mendocino,,No fee,,,39.264033,-122.699902,,Restrooms are available at this site.,Potable water is not available at this site.,,,False
4,Davis Flat Campground,https://www.fs.usda.gov/r05/mendocino/recreation/davis-flat-campground,Mendocino National Forest,https://www.fs.usda.gov/r05/mendocino,,"Overnight Use:
Single Site: $5 per night
$5 per vehicle
Another Way to Pay
:
Once on-site, you are able to pay for your campsite(s) by scanning the QR code on the campground kiosk using the
Recreation.gov
mobile app, and the Scan and Pay feature.
In order to utilize Scan & Pay on site, you will need to first download the free
Recreation.gov
mobile app
https://www.recreation.gov/mobile-app
prior to your arrival as some remote areas have limited or no cellular service.",,"Stonyford Work Center
Address:
5171 Stonyford-Elk Creek Rd Stonyford, CA 95979
Phone:
530-963-3128
Hours:
8:30 am - noon and 1:00 - 4:00 pm, Tuesday - Saturday. Closed Sunday - Monday. (Closed on
federal holidays
)
Office Email:
sm.fs.mendopao@usda.gov",39.3628,-122.654776,,Restrooms are available at this site.,Potable water is not available at this site.,,,False
5,Deer Valley Campground,https://www.fs.usda.gov/r05/mendocino/recreation/deer-valley-campground,Mendocino National Forest,https://www.fs.usda.gov/r05/mendocino,,$6,,,39.26586316,-122.8838548,,Restrooms are available at this site.,Potable water is not available at this site.,,,False
6,Eel River Campground,https://www.fs.usda.gov/r05/mendocino/recreation/eel-river-campground,Mendocino National Forest,https://www.fs.usda.gov/r05/mendocino,"May 17, 2025","Overnight Use:
Single Site: $8 per night
$8",,,39.824686,-123.084392,,Restrooms are available at this site.,Potable water is not available at this site.,,,False
7,Fouts Campground,https://www.fs.usda.gov/r05/mendocino/recreation/fouts-campground,Mendocino National Forest,https://www.fs.usda.gov/r05/mendocino,,"Overnight Use:
Single Site: $5 per night
Another Way to Pay:
Once on-site, you are able to pay for your campsite(s) by scanning the QR code on the campground kiosk using the
Recreation.gov
mobile app, and the Scan and Pay feature.
In order to utilize Scan & Pay on site, you will need to first download the free
Recreation.gov
mobile app
https://www.recreation.gov/mobile-app
prior to your arrival as some remote areas have limited or no cellular service.",,"Stonyford Work Center
Address:
5171 Stonyford-Elk Creek Rd Stonyford, CA 95979
Phone:
530-963-3128
Hours:
8:30 am - noon and 1:00 - 4:00 pm, Tuesday - Saturday. Closed Sunday - Monday. (Closed on
federal holidays
)
Office Email:
sm.fs.mendopao@usda.gov",39.359518,-122.65331,,Restrooms are available at this site.,Potable water is not available at this site.,,,False
8,Fuller Grove Campground,https://www.fs.usda.gov/r05/mendocino/recreation/fuller-grove-campground,Mendocino National Forest,https://www.fs.usda.gov/r05/mendocino,5/21/2024,"Overnight Use:
Single Site: $16 per night
Additional Vehicle Fee: $3 per vehicle per night
$1 per pet per night
Boating launch fee: $5
No reservation, first come first served.
$16 per camp unit, plus $3 per additional vehicle and $1 per pet per night.",,,39.435675,-122.96901,,Restrooms are available at this site.,Potable water is not available at this site.,,,True
9,Fuller Grove Group Campground,https://www.fs.usda.gov/r05/mendocino/recreation/fuller-grove-group-campground,Mendocino National Forest,https://www.fs.usda.gov/r05/mendocino,5/21/2024,"Overnight Use:
Group Site: $145 per night
Group Site: $1,015 per week
$145.00 per night or $1,015 per week.",,,39.439528,-122.968908,,Restrooms are available at this site.,Potable water is not available at this site.,,,True
10,Gray Pine Group Campground,https://www.fs.usda.gov/r05/mendocino/recreation/gray-pine-group-campground,Mendocino National Forest,https://www.fs.usda.gov/r05/mendocino,,"Overnight Use:
Group Site: $75 per night
$75 per night",,,39.357023,-122.654538,,Restrooms are available at this site.,Potable water is not available at this site.,,,False
11,Green Springs Campground,https://www.fs.usda.gov/r05/mendocino/recreation/green-springs-campground,Mendocino National Forest,https://www.fs.usda.gov/r05/mendocino,,"No fees are required for this site
No fee",,,39.972635,-122.932938,,Restrooms are available at this site.,Potable water is not available at this site.,,,False
12,Hammerhorn Campground,https://www.fs.usda.gov/r05/mendocino/recreation/hammerhorn-campground,Mendocino National Forest,https://www.fs.usda.gov/r05/mendocino,,"Overnight Use:
Single Site: $8 per night
$8",,,39.949413,-122.99172,,Restrooms are available at this site.,Potable water is not available at this site.,,,True
13,Howard Lake Campground,https://www.fs.usda.gov/r05/mendocino/recreation/howard-lake-campground,Mendocino National Forest,https://www.fs.usda.gov/r05/mendocino,,"Overnight Use:
Single Site: $6 per night
Another Way to Pay
:
Once on-site, you are able to pay for your campsite(s) by scanning the QR code at the campground kiosk using the
Recreation.gov
mobile app, and the Scan and Pay feature.
In order to utilize Scan & Pay on site, you will need to first download the free
Recreation.gov
mobile app
https://www.recreation.gov/mobile-app
prior to your arrival as some remote areas have limited or no cellular service.",,"Covelo Ranger District
Address:
78150 Covelo Road 78150 Covelo Road, CA 95428
Phone:
(707) 983-6118
Hours:
8:30 am - noon and 1:00 - 4:00 pm, Monday through Friday. (Closed on
federal holidays
)
Office Email:
sm.fs.mendopao@usda.gov",39.88144,-122.991802,,Restrooms are available at this site.,Potable water is not available at this site.,,,True
14,Howard Meadows Campground,https://www.fs.usda.gov/r05/mendocino/recreation/howard-meadows-campground,Mendocino National Forest,https://www.fs.usda.gov/r05/mendocino,,"Overnight Use:
Single Site: $6 per night
Another Way to Pay
:
Once on-site, you are able to pay for your campsite(s) by scanning the QR code at the campground kiosk using the
Recreation.gov
mobile app, and the Scan and Pay feature.
In order to utilize Scan & Pay on site, you will need to first download the free
Recreation.gov
mobile app
https://www.recreation.gov/mobile-app
prior to your arrival as some remote areas have limited or no cellular service.",,"Covelo Ranger District
Address:
78150 Covelo Road 78150 Covelo Road, CA 95428
Phone:
(707) 983-6118
Hours:
8:30 am - noon and 1:00 - 4:00 pm, Monday through Friday. (Closed on
federal holidays
)
Office Email:
sm.fs.mendopao@usda.gov",39.878248,-122.992866,,Restrooms are available at this site.,Potable water is not available at this site.,,,True
15,Kingsley Glade Campground,https://www.fs.usda.gov/r05/mendocino/recreation/kingsley-glade-campground,Mendocino National Forest,https://www.fs.usda.gov/r05/mendocino,,"No fees are required for this site
None",,,39.90288632,-122.7665027,"Located 22 miles west of Paskenta, and 60 miles west of Red Bluff at 4,500 feet elevation. From Paskenta take Road M-2 west to Road #24N01, left on Road 24N01, to campground.",Restrooms are available at this site.,Potable water is not available at this site.,,,False
16,Letts Lake Campground,https://www.fs.usda.gov/r05/mendocino/recreation/letts-lake-campground,Mendocino National Forest,https://www.fs.usda.gov/r05/mendocino,,"Overnight Use:
Single Site: $12 per night
May - September (Memorial Day-Labor Day): $12/night
Off-season: $6/night
Another Way to Pay
:
Once on-site, you are able to pay for your campsite(s) by scanning the QR code on the campground kiosk using the
Recreation.gov
mobile app, and the Scan and Pay feature.
In order to utilize Scan & Pay on site, you will need to first download the free
Recreation.gov
mobile app
https://www.recreation.gov/mobile-app
prior to your arrival as some remote areas have limited or no cellular service.",,"Stonyford Work Center
Address:
5171 Stonyford-Elk Creek Rd Stonyford, CA 95979
Phone:
530-963-3128
Hours:
8:30 am - noon and 1:00 - 4:00 pm, Tuesday - Saturday. Closed Sunday - Monday. (Closed on
federal holidays
)
Office Email:
sm.fs.mendopao@usda.gov",39.302873,-122.708997,,Restrooms are available at this site.,Potable water is not available at this site.,,,True
17,Little Doe Campground,https://www.fs.usda.gov/r05/mendocino/recreation/little-doe-campground,Mendocino National Forest,https://www.fs.usda.gov/r05/mendocino,,"Overnight Use:
Single Site: $6 per night
$6",,,39.894539,-122.98741,,Restrooms are available at this site.,Potable water is not available at this site.,,,False
18,Little Stony Campground,https://www.fs.usda.gov/r05/mendocino/recreation/little-stony-campground,Mendocino National Forest,https://www.fs.usda.gov/r05/mendocino,,"Overnight Use:
Single Site: $5 per night
$5",,,39.286344,-122.577397,,Restrooms are available at this site.,Potable water is not available at this site.,,,False
19,Lower Nye Campground,https://www.fs.usda.gov/r05/mendocino/recreation/lower-nye-campground,Mendocino National Forest,https://www.fs.usda.gov/r05/mendocino,,No fees are required for this site,,,39.44313702,-122.8247922,,Restrooms are available at this site.,Potable water is not available at this site.,,,False
20,Masterson Group Campground,https://www.fs.usda.gov/r05/mendocino/recreation/masterson-group-campground,Mendocino National Forest,https://www.fs.usda.gov/r05/mendocino,,"Overnight Use:
Group Site: $75 per night
$75. Make reservations through
recreation.gov
. To make changes to your reservation please contact the
Help Center
on Recreation.gov or call
(877) 444-6777
.",,,39.737379,-122.845018,,Restrooms are available at this site.,Potable water is not available at this site.,,,True
21,Middle Creek Campground,https://www.fs.usda.gov/r05/mendocino/recreation/middle-creek-campground,Mendocino National Forest,https://www.fs.usda.gov/r05/mendocino,,"Overnight Use:
Single Site: $8 per night
Additional Vehicle Fee: $2 per vehicle per night
$8 per camp unit, plus $2 per additional vehicle per night. Limit two vehicles per camp unit.",,,39.252966,-122.951652,,Restrooms are available at this site.,Potable water is not available at this site.,,,False
22,Mill Creek Campground,https://www.fs.usda.gov/r05/mendocino/recreation/mill-creek-campground,Mendocino National Forest,https://www.fs.usda.gov/r05/mendocino,,"Overnight Use:
Single Site: $10 per night
$5",,,39.355761,-122.654954,,Restrooms are available at this site.,Potable water is not available at this site.,,,False
23,Mill Valley Campground,https://www.fs.usda.gov/r05/mendocino/recreation/mill-valley-campground,Mendocino National Forest,https://www.fs.usda.gov/r05/mendocino,May,"Overnight Use:
Single Site: $10 per night
May - September (Memorial Day-Labor Day): $10/night
Off-season: $5/night",,,39.317702,-122.707705,,Restrooms are available at this site.,Potable water is not available at this site.,,,False
