,site_name,site_url,park_name,park_url,season_of_use,fee_info,contact_info,info_center,latitude,longitude,directions,restrooms,water,overview,amenities,body_of_water
0,Ash Creek Campground,https://www.fs.usda.gov/r05/modoc/recreation/ash-creek-campground,Modoc National Forest,https://www.fs.usda.gov/r05/modoc,,"No fees are required for this site
No fee",,,41.16138889,-120.8280556,From Adin go east on County Road 527/Forest Road 39N08 approximately 7 miles to County Road 22. Turn left on County Road 22 and follow the signs approximately .6 mile to the campground on the right.,Restrooms are available at this site.,Potable water is not available at this site.,,,False
1,Big Sage Campground,https://www.fs.usda.gov/r05/modoc/recreation/big-sage-campground,Modoc National Forest,https://www.fs.usda.gov/r05/modoc,Facilities open as weather permits; usually mid-May to late October.,"No fees are required for this site
No fee.",,,41.57888889,-120.6280556,"From Alturas travel west on Hwy 299, 3 miles. Turn north on Crowder Flat Rd/County Road 73, and travel 6 miles. Turn right on County Road 180 and go 3.5 miles to Big Sage Dam and the campground.",Restrooms are available at this site.,Potable water is not available at this site.,,,True
2,Blanche Lake Campground,https://www.fs.usda.gov/r05/modoc/recreation/blanche-lake-campground,Modoc National Forest,https://www.fs.usda.gov/r05/modoc,Facilities open as weather permits; usually early July to late October.,No fees are required for this site,,,41.55733056,-121.57021945,"From McCloud go east on US Hwy 89 south for 16 miles to Forest Service Road 15/Harris Spring Rd. Turn left on Road 15 and go 4.4 miles to Forest Service Road 49/Medicine Lake Road. Follow the signs 24 miles toward Medicine Lake. Turn right on 43N17 and follow the signs to Blanche Lake, Bullseye and Payne Springs. From Tulelake travel south 24 miles on State Hwy 139 to County Road 97. Turn west on County Road 97 past Tionesta and go approx. 22 miles to Forest Service Road 43N75. Turn left on Road 43N75 and go 1.8 miles to Forest Service Road 43N17. Turn left and follow the signs to the campground.",Restrooms are available at this site.,Potable water is not available at this site.,,,False
3,Blue Lake Campground,https://www.fs.usda.gov/r05/modoc/recreation/blue-lake-campground,Modoc National Forest,https://www.fs.usda.gov/r05/modoc,Facilities open as weather permits; usually mid-May to late October.,"Overnight Use:
Single Site: $15 per night
Additional Vehicle Fee: $5 per vehicle per night
Group Site: $70 per night
Maximum of 2 vehicles per site. Group site: $70/night",,,41.143761,-120.278988,"From Alturas go south on US Hwy 395 to Likely, CA. Turn east on County Road 64/Jess Valley Rd and go 9 miles to Blue Lake Road. Turn right on Blue Lake Road and follow the signs approximately 8.5 more miles to the campground.",Restrooms are available at this site.,Potable water is available at this site.,,,True
4,Bullseye Lake Campground,https://www.fs.usda.gov/r05/modoc/recreation/bullseye-lake-campground,Modoc National Forest,https://www.fs.usda.gov/r05/modoc,Usually open early July,None,,,41.55444,-121.57333,,Restrooms are available at this site.,Potable water is not available at this site.,,,False
5,Cave Lake Campground,https://www.fs.usda.gov/r05/modoc/recreation/cave-lake-campground,Modoc National Forest,https://www.fs.usda.gov/r05/modoc,Facilities open as weather permits; usually early July to late October.,"Overnight Use:
Single Site: $15 per night
Additional Vehicle Fee: $5 per vehicle per night
$15/single site per day with a maximum of two vehicles.",,,41.97861111,-120.2044444,"From Lakeview, Oregon go south 14 miles on US Hwy 395 and into California to County Road 2. Turn east on County Road 2 and continue for 7 miles to the campground. From Alturas travel north on US Hwy 395 approximately 38 miles to County Road 2. Turn east on County Road 2 and continue for 7 miles to the campground.",Restrooms are available at this site.,Potable water is not available at this site.,,,False
6,Cedar Pass Campground,https://www.fs.usda.gov/r05/modoc/recreation/cedar-pass-campground,Modoc National Forest,https://www.fs.usda.gov/r05/modoc,May - Oct,No Fee. Camping limit 14 days.,,,41.56027778,-120.2936111,,Restrooms are not available at this site.,Potable water is not available at this site.,,,False
7,Cottonwood Flat Campground,https://www.fs.usda.gov/r05/modoc/recreation/cottonwood-flat-campground,Modoc National Forest,https://www.fs.usda.gov/r05/modoc,May - Oct,,,,41.43083333,-121.0611111,,Restrooms are not available at this site.,Potable water is not available at this site.,,,False
8,Emerson Campground,https://www.fs.usda.gov/r05/modoc/recreation/emerson-campground,Modoc National Forest,https://www.fs.usda.gov/r05/modoc,Facilities open as weather permits; usually early July to late October.,No fee.,,,41.26388889,-120.1377778,,Restrooms are available at this site.,Potable water is not available at this site.,,,False
9,Howard's Gulch Campground,https://www.fs.usda.gov/r05/modoc/recreation/howards-gulch-campground,Modoc National Forest,https://www.fs.usda.gov/r05/modoc,Facilities open as weather permits; usually mid-May to late October.,"Overnight Use:
Single Site: $15 per night
Additional Vehicle Fee: $5 per vehicle per night
$15/single campsite per day with a maximum of 2 vehicles.",,,41.48583333,-120.9688889,From Alturas travel west on Hwy 299 past Canby to Hwy 139. Turn north on Hwy 139 and go 4 miles to the campground entrance on the left.,Restrooms are available at this site.,Potable water is not available at this site.,,,False
