,site_name,site_url,park_name,park_url,season_of_use,fee_info,contact_info,info_center,latitude,longitude,directions,restrooms,water,overview,amenities,body_of_water
0,Big Cove Campground,https://www.fs.usda.gov/r05/plumas/recreation/big-cove-campground,Plumas National Forest,https://www.fs.usda.gov/r05/plumas,,"Call the Beckwourth Ranger District for information.
Senior and Access passes are honored for single campsites only",,,39.89912,-120.48218,Take Highway 395 North from Reno NV. to Highway 70 West. Proceed west to Chilcoot CA. Head North at Chilcoot 7 miles to Frenchman Lake. Cross the Dam and proceed to the campground entrance on the left.,Restrooms are available at this site.,Potable water is not available at this site.,,,False
1,Boulder Creek Campground,https://www.fs.usda.gov/r05/plumas/recreation/boulder-creek-campground,Plumas National Forest,https://www.fs.usda.gov/r05/plumas,,,,,40.1952,-120.6181,,Restrooms are available at this site.,Potable water is not available at this site.,,,True
2,Chilcoot,https://www.fs.usda.gov/r05/plumas/recreation/chilcoot,Plumas National Forest,https://www.fs.usda.gov/r05/plumas,,"Call the Beckwourth Ranger District for information.
Senior and Access passes are honored for single campsites only",,,39.89007,-120.21278,"From Reno take Highway 395 to Hallelujah Junction, head West on Highway 70 to Chilcoot. Head North on Highway 284 to the Chilcoot Campground entrance on the left.",Restrooms are available at this site.,Potable water is not available at this site.,,,False
3,Conklin Park Campground,https://www.fs.usda.gov/r05/plumas/recreation/conklin-park-campground,Plumas National Forest,https://www.fs.usda.gov/r05/plumas,,"Overnight Use:
Single Site: $15 per night
$10 per night from May 23 through September 1, 2025. No services No fees the rest of the year.",,,39.91666,-120.18853,From Portola head east on Highway 70 to Beckwourth.  Turn left on County Road 111 and proceed north for approximately nine miles to Forest Service Road 26N70.  Proceed approximately nine miles to campground.,Restrooms are available at this site.,Potable water is not available at this site.,,,False
4,Cottonwood Springs Campground,https://www.fs.usda.gov/r05/plumas/recreation/cottonwood-springs-campground,Plumas National Forest,https://www.fs.usda.gov/r05/plumas,,"Overnight Use:
Single Site: $34 per night
Group Site:  $100 per night (up to 25 people); $140 per night (up to 50 people)
Call the Beckwourth Ranger District for information.
Senior and Access passes are honored for single campsites only",,,39.66885,-120.66108,From Reno take highway 395 North to Halleluiah Junction. Head West on Highway 70 to Chilcoot. Head North on Highway284 to Frenchman Lake. Cross the dam and proceed to the campground entrance on the left.,Restrooms are available at this site.,Potable water is not available at this site.,,,False
5,Frenchman Campground,https://www.fs.usda.gov/r05/plumas/recreation/frenchman-campground,Plumas National Forest,https://www.fs.usda.gov/r05/plumas,,"Overnight Use:
Single Site: $38 per night
Additional Vehicle Fee: $5 per vehicle per night
Call the Beckwourth Ranger District at 530-8362575 for information.
Senior and Access passes are honored for single campsites only",,,39.90478,-120.17419,"From Reno NV. take Highway 395 North to Hallelujah Junction, Head West on Highway 70 to Chilcoot, head North on Highway 284 to Frenchman Lake. Cross the  dam and proceed to the campground entrance on the left.",Restrooms are available at this site.,Potable water is not available at this site.,,,False
6,Gold Lake 4x4 Campground,https://www.fs.usda.gov/r05/plumas/recreation/gold-lake-4x4-campground,Plumas National Forest,https://www.fs.usda.gov/r05/plumas,"Planned opening is June 6, 2025. Campground use is by reservation only. Reservable dates are released 30 days in advance.",No fees are required for this site,,,39.6681,-120.660968,"Take Highway 89 southeast from Graeagle, California a couple miles.  Proceed south on Gold Lake Highway for 10 miles to Gold Lake.  Take the Gold Lake 4X4 road to the campground. 4-wheel drive and high clearance is required.",Restrooms are available at this site.,Potable water is not available at this site.,,,False
7,Grasshopper Flat,https://www.fs.usda.gov/r05/plumas/recreation/grasshopper-flat,Plumas National Forest,https://www.fs.usda.gov/r05/plumas,"May 16, through October 12, 2025. Operated by Royal Elk Property Management.","Overnight Use:
Single Site: $38 per night
Group Site: $100 per night
Additional Vehicle Fee: $5 per vehicle per night",,,39.8908,-120.4758,"From Portola CA. take West Street (County Road 126) North 7 miles. Take Country road 112 to east side of Lake Davis, go approximately .5 mile and campground is on the left.",Restrooms are available at this site.,Potable water is not available at this site.,,,False
8,Grizzly Campground,https://www.fs.usda.gov/r05/plumas/recreation/grizzly-campground,Plumas National Forest,https://www.fs.usda.gov/r05/plumas,"May 16, through September 28, 2025. Operated by Royal Elk Property Management.","Overnight Use:
Single Site: $38 per night
Dump Fee: $17 per use
Additional Vehicle Fee: $5 per vehicle per night",,,39.8877,-120.4715,"From Portola CA. take West Street (County Road 126) north seven miles. At intersection with County Road 112, turn left and proceed approximately 1/8  mile. Campground is on the left.",Restrooms are available at this site.,Potable water is not available at this site.,,,False
9,Horse Camp,https://www.fs.usda.gov/r05/plumas/recreation/horse-camp,Plumas National Forest,https://www.fs.usda.gov/r05/plumas,,$23 per site per night.,,,39.748835,-120.964235,"From La Porte take Main Street/Quincy La Porte Rd approximately 1.8 miles, continuing forward on Little Grass Valley Rd.  In approximately 1 mile turn right onto Old Little Grass Valley Rd. Travel approximately 4 miles to the campground entrance.",Restrooms are not available at this site.,Potable water is not available at this site.,,,False
10,Lakes Basin Campground,https://www.fs.usda.gov/r05/plumas/recreation/lakes-basin-campground,Plumas National Forest,https://www.fs.usda.gov/r05/plumas,,"Overnight Use:
Peak Season (June 13 - Aug 31)
Single Site: $36 per night
Double Site: $67 per night
Group Site: $80 per night (up to 25 people)
Non-peak Season (Sept 01 - Sept 28)
Single Site: $30 per night
Double Site: $55 per night
Group Site: $80 per night (up to 25 people)
Additional Vehicle Fee: $5 per vehicle per night
Call the Beckwourth Ranger District for information.
Senior and Access passes are honored for single campsites only",,,39.6997,-120.6608,"Take County Road 519 off of State Route 89 just out of Graeagle, California.  Proceed north approximately nine miles to campground turnoff.",Restrooms are available at this site.,Potable water is not available at this site.,,,False
11,Lightning Tree Campground,https://www.fs.usda.gov/r05/plumas/recreation/lightning-tree-campground,Plumas National Forest,https://www.fs.usda.gov/r05/plumas,,"Overnight Use:
Single Site: $38 per night.
Double Site: $71 per night
Additional Vehicle Fee: $5 per vehicle per night
Call the Beckwourth Ranger District for information",,,39.9319,-120.5014,"From Portola CA. take County road 126 North 7 miles. Take Country road 112 to east side of Lake Davis, go approximately 5 miles and campground is on the left.",Restrooms are available at this site.,Potable water is not available at this site.,,,False
12,Little Beaver Campground,https://www.fs.usda.gov/r05/plumas/recreation/little-beaver-campground,Plumas National Forest,https://www.fs.usda.gov/r05/plumas,,"Overnight Use:
Single Site: $23 per night
Premium Site: $25 per night
$23 per site per night for standard sites; $25 per site per night for Premium Lakeside sites.
Senior and Access passes are honored for single campsites only",,,39.729975,-120.969855,"From La Porte take Main Street/Quincy La Porte Rd approximately 1.8 miles, continuing forward on Little Grass Valley Rd.  In approximately 1 mile turn right onto Old Little Grass Valley Rd. Travel approximately 3.5 miles to campground.",Restrooms are available at this site.,Potable water isnot available at this site.,,,False
