,site_name,site_url,park_name,park_url,season_of_use,fee_info,contact_info,info_center,latitude,longitude,directions,restrooms,water,overview,amenities,body_of_water
0,Applewhite Campground,https://www.fs.usda.gov/r05/sanbernardino/recreation/applewhite-campground,San Bernardino National Forest,https://www.fs.usda.gov/r05/sanbernardino,,"$15.00 for a Single Site, limited to 8 people and 1 vehicle.
Two vehicles total allowed; second vehicle is $5.00/night. There is no overflow parking available. The fee is payable at a self-serve station at the entrance to the campground, cash or check only.
CHECK-IN TIME IS 2:00 PM. CHECK-OUT TIME IS 12:00 PM
.
the following day
. Your campground use fee allows you to walk into the Applewhite Picnic Area for day use purposes (located across the street, hours vary).",,"Front Country Ranger District
Address:
1209 Lytle Creek Road Lytle Creek, CA 92358
Phone:
(909) 382-2851
Hours:
Wednesday-Sunday from 8:00 am to 4:30 pm, Monday & Tuesday Closed",34.25981,-117.493268,,Restrooms are available at this site.,Potable water is not available at this site.,,,False
1,Arrastre - Deer Springs PCT Trail Camp (hike-in only),https://www.fs.usda.gov/r05/sanbernardino/recreation/arrastre-deer-springs-pct-trail-camp-hike-only,San Bernardino National Forest,https://www.fs.usda.gov/r05/sanbernardino,,No fees are associated with this site.,,"Mountaintop Ranger District and Discovery Center
Address:
40971  North Shore Drive, Highway 38 Fawnskin, CA 92333
Phone:
(909) 382-2790
Hours:
Thursday-Monday from 9:00 am to 4:00 pm, Tuesday & Wednesday Closed",34.2145,-116.741144,,Restrooms are not available at this site.,Potable water is not available at this site.,,,False
2,Barton Flats Family Campground,https://www.fs.usda.gov/r05/sanbernardino/recreation/barton-flats-family-campground,San Bernardino National Forest,https://www.fs.usda.gov/r05/sanbernardino,03/21/2025 - 10/25/2025,"Single Site $36 - Holiday $38 - 8 person maximum
Double Site $71- Holiday $73 - 16 person maximum
Camping fee includes entry for 1 vehicle.
Extra vehicle fee $8 per night.
RV dump $10
Checks under $50 not accepted.",,"Mill Creek Visitor Center
Address:
34701 Mill Creek Road Mentone, CA 92359
Phone:
(909) 382-2882
Hours:
Saturday-Sunday 9:00 am to 4:00 pm (Closed on
federal holidays
)",34.17083333,-116.8741667,From the Big Bear Discovery Center take SR-38 towards Redlands for 25.8 miles and turn right into the campground.,,Potable water is available at this site.,,,False
3,Bench PCT Trail Camp (hike-in only),https://www.fs.usda.gov/r05/sanbernardino/recreation/bench-pct-trail-camp-hike-only,San Bernardino National Forest,https://www.fs.usda.gov/r05/sanbernardino,,No fees are associated with this site.,,"Mountaintop Ranger District and Discovery Center
Address:
40971  North Shore Drive, Highway 38 Fawnskin, CA 92333
Phone:
(909) 382-2790
Hours:
Thursday-Monday from 9:00 am to 4:00 pm, Tuesday & Wednesday Closed",34.210175,-117.12358056,,Restrooms are not available at this site.,,,,False
4,Big Bear Yellow Post Sites,https://www.fs.usda.gov/r05/sanbernardino/recreation/big-bear-yellow-post-sites,San Bernardino National Forest,https://www.fs.usda.gov/r05/sanbernardino,,No fees are associated with this site.,,"Mountaintop Ranger District and Discovery Center
Address:
40971  North Shore Drive, Highway 38 Fawnskin, CA 92333
Phone:
(909) 382-2790
Hours:
Thursday-Monday from 9:00 am to 4:00 pm, Tuesday & Wednesday Closed",34.27481667,-116.9827,,Restrooms are not available at this site.,Potable water is not available at this site.,,,False
5,Big Pine Flat Equestrian Group Campground,https://www.fs.usda.gov/r05/sanbernardino/recreation/big-pine-flat-equestrian-group-campground,San Bernardino National Forest,https://www.fs.usda.gov/r05/sanbernardino,04/19/2024 - 10/05/2024,Group Site $127 - Holiday $137,,"Mountaintop Ranger District and Discovery Center
Address:
40971  North Shore Drive, Highway 38 Fawnskin, CA 92333
Phone:
(909) 382-2790
Hours:
Thursday-Monday from 9:00 am to 4:00 pm, Tuesday & Wednesday Closed",34.31972222,-117.0102778,"Take I-10 East to Redlands. Take the University Street exit, EXIT 80. Turn left (northbound) on University Street. Turn right onto E. Lugonia Avenue/SR-38. Continue on State Highway 38 into Big Bear City, to E. Big Bear Blvd. Turn left onto E. Big Bear Blvd./SR-38. Turn right onto Greenway Drive/SR-18/SR-38. Turn left onto North Shore Drive, SR-38. Continue on North Shore Drive/Hwy 38 until you reach the City of Fawnskin. As you reach the “Y”, veer right on to Rim of the World Drive, past the County Fire Station 96. Continue on Rim of the World, after the pavement ends the road turns into Forest Road 3N14. Proceed on 3N14 continue to Forest Service Road 3N16. Turn left on to Forest Service Road 3N16 for approximately 0.3 of a mile. The campground is accessed by the dirt road to your right.",Restrooms are not available at this site.,Potable water is not available at this site.,,,False
6,Big Pine Flat Family Campground,https://www.fs.usda.gov/r05/sanbernardino/recreation/big-pine-flat-family-campground,San Bernardino National Forest,https://www.fs.usda.gov/r05/sanbernardino,04/19/2025 - 10/05/2025,"Single Site $29 - Holiday $30 - 8 person maximum
Camping fee includes entry for 1 vehicle.
Extra vehicle fee $8 per night.
Checks under $50 not accepted.",,"Mountaintop Ranger District and Discovery Center
Address:
40971  North Shore Drive, Highway 38 Fawnskin, CA 92333
Phone:
(909) 382-2790
Hours:
Thursday-Monday from 9:00 am to 4:00 pm, Tuesday & Wednesday Closed",34.32055556,-116.0116667,"Take I-10 East to Redlands. Take the University Street exit, EXIT 80. Turn left (northbound) on University Street. Turn right onto E. Lugonia Avenue/SR-38. Continue on State Highway 38 into Big Bear City, to E. Big Bear Blvd. Turn left onto E. Big Bear Blvd./SR-38. Turn right onto Greenway Drive/SR-18/SR-38. Turn left onto North Shore Drive, SR-38. Continue on North Shore Drive/Hwy 38 until you reach the City of Fawnskin. As you reach the “Y”, veer right on to Rim of the World Drive, past the County Fire Station 96. Continue on Rim of the World, after the pavement ends the road turns into Forest Road 3N14. This dirt road will take you approximately 7 miles to Big Pine Flat Campground. The Big Pine Flat Campground entrance gates will be on your left, 50 yards past 3N16.",Restrooms are not available at this site.,Potable water is not available at this site.,,,False
7,Black Mountain Group Campground,https://www.fs.usda.gov/r05/sanbernardino/recreation/black-mountain-group-campground,San Bernardino National Forest,https://www.fs.usda.gov/r05/sanbernardino,,$60 to $120,,"San Jacinto Ranger District
Address:
P.O. Box 518 Idyllwild, CA 92549
Phone:
(909) 382-2921
Hours:
Thursday through Monday from 8:00 am to 4:00 pm; Closed for lunch 12:00 pm - 1:00 pm",33.83305556,-116.7402778,,Restrooms are not available at this site.,Potable water is not available at this site.,,,False
8,Black Mountain Yellow Post Sites,https://www.fs.usda.gov/r05/sanbernardino/recreation/black-mountain-yellow-post-sites,San Bernardino National Forest,https://www.fs.usda.gov/r05/sanbernardino,,No fees are associated with this site.,,"San Jacinto Ranger District
Address:
P.O. Box 518 Idyllwild, CA 92549
Phone:
(909) 382-2921
Hours:
Thursday through Monday from 8:00 am to 4:00 pm; Closed for lunch 12:00 pm - 1:00 pm",33.83306,-116.74002,,Restrooms are not available at this site.,Potable water is not available at this site.,,,False
9,Bluff Mesa Group Campground,https://www.fs.usda.gov/r05/sanbernardino/recreation/bluff-mesa-group-campground,San Bernardino National Forest,https://www.fs.usda.gov/r05/sanbernardino,04/19/2024 - 10/05/2024,Group Site $149 - Holiday $159,,"Mountaintop Ranger District and Discovery Center
Address:
40971  North Shore Drive, Highway 38 Fawnskin, CA 92333
Phone:
(909) 382-2790
Hours:
Thursday-Monday from 9:00 am to 4:00 pm, Tuesday & Wednesday Closed",34.2229,-116.9757,"Take I-10 East to Redlands. Take the University Street exit, EXIT 80. Turn left (northbound) on University Street. Turn right onto E. Lugonia Avenue/SR-38. Continue on State Highway 38 into Big Bear City, to E. Big Bear Blvd. Turn left on to E. Big Bear Blvd./SR-38. Continue westbound on Big Bear Blvd/SR-18 into the City of Big Bear Lake. From State Highway 18, west of the village, turn left on to Millcreek Road. Proceed past Aspen Glen Picnic Area, 0.4 mile and turn left to continue on to Millcreek Road to Forest Road 2N10. Proceed on 2N10 for 0.8 mile to the end of pavement. Continue on 2N10 past Cedar Lake turnoff. Proceed on 2N10 for 3.3 miles to 2N86. Turn right on 2N86 and continue for 0.6 of a mile. Turn left on 2N86A and proceed 0.1 mile, then turn right for 0.2 of a mile to Bluff Mesa Group Campground.",Restrooms are not available at this site.,Potable water is not available at this site.,,,False
