,site_name,site_url,park_name,park_url,season_of_use,fee_info,contact_info,info_center,latitude,longitude,directions,restrooms,water,overview,amenities,body_of_water
0,AhDiNa Campground,https://www.fs.usda.gov/r05/shasta-trinity/recreation/ahdina-campground,Shasta-Trinity National Forest,https://www.fs.usda.gov/r05/shasta-trinity,Generally open May 1- November 1st.,"Overnight Use:
Single Site: $10 per night","Contact Name:
McCloud Ranger Station
Contact Phone:
(530) 964-2184","McCloud Ranger Station
Address:
2019 Forest Road McCloud, CA 96057
Phone:
530-964-2184
Hours:
Friday and Saturday, 8:00 am - 4:30 pm (Closed on
federal holidays
)",41.10985758,-122.0972068,"From the McCloud Ranger Station, turn right on SR 89. Go approximately 1/4 mile to the left turn lane. Turn left and go approximately 10 miles to Lake McCloud. Stay on the paved road the goes around the lake. In 3 miles there will be a sign for AH-DI-NA. Turn right onto the dirt road (distance of 4 miles) and drive uphill to the top and continue down the other side. AH-DI-NA is on the left. Road is very rough. Trailers and motorhomes are not advised.",Restrooms are available at this site.,Drinking water is available from faucets.,,,False
1,Algoma Campground,https://www.fs.usda.gov/r05/shasta-trinity/recreation/algoma-campground,Shasta-Trinity National Forest,https://www.fs.usda.gov/r05/shasta-trinity,,"No fees are required for this site
Free","Contact Name:
McCloud Ranger Station
Contact Phone:
(530) 964-2184","McCloud Ranger Station
Address:
2019 Forest Road McCloud, CA 96057
Phone:
530-964-2184
Hours:
Friday and Saturday, 8:00 am - 4:30 pm (Closed on
federal holidays
)",41.25635808,-121.8830887,"From the McCloud Ranger Station, turn left on SR 89. Drive 13 miles the turnoff for Algoma (Stouts Meadow) turn at the cross country skier sign. Turn right and go 1 mile to the campground.",Restrooms are available at this site.,Potable water is not available at this site.,,,False
2,Alpine View Campground,https://www.fs.usda.gov/r05/shasta-trinity/recreation/alpine-view-campground,Shasta-Trinity National Forest,https://www.fs.usda.gov/r05/shasta-trinity,Opens the week prior to Memorial Day Weekend and closes October 31st.,"Overnight Use:
Single Site: $24 per night
Double Site: $48 per night
Additional Vehicle Fee: $8 per vehicle per night
$24 per day per site, $48 per day per muli sites, $8 per day per extra vehicle",,,40.88706482,-122.7658164,"From Weaverville, take State Route 3 north for 22.5 miles. Turn right on Guy Covington Road for 2.4 miles to the campground.",Restrooms are available at this site.,Potable water is available at this site.,,,True
3,Antlers Campground,https://www.fs.usda.gov/r05/shasta-trinity/recreation/antlers-campground,Shasta-Trinity National Forest,https://www.fs.usda.gov/r05/shasta-trinity,May 1 - October 31,"Overnight Use:
Single Site: $28 per night
Double Site: $58 per night
Additional vehicles, if space allows, will be charged $12 per night.",,,40.88904407,-122.3755075,"Located approximately 22 miles north of Redding. From I-5, take exit 702, Antlers Road/Lakeshore Drive. Turn right at end of off ramp. Turn right at stop sign next to Shell station. Continue along Antlers road for about eight tenths of a mile. Campground entrance is on right side.",Restrooms are available at this site.,Potable water is not available at this site.,,,False
4,Arbuckle Flat Boat-In Campground,https://www.fs.usda.gov/r05/shasta-trinity/recreation/arbuckle-flat-boat-campground,Shasta-Trinity National Forest,https://www.fs.usda.gov/r05/shasta-trinity,,No fees are required for this site,,,40.76508561,-122.11922,,Restrooms are available at this site.,Potable water is not available at this site.,,,True
5,Bailey Cove Campground,https://www.fs.usda.gov/r05/shasta-trinity/recreation/bailey-cove-campground,Shasta-Trinity National Forest,https://www.fs.usda.gov/r05/shasta-trinity,,"Overnight Use:
Single Site: $28 per night
Double Site: $56 per night
single site (1 vehicle and 8 people)
double site (2 vehicles and 12 people)
Additional vehicles, if space allows, will be charged $12 per night.",,"Shasta Lake Ranger Station
Address:
14225 Holiday Road Redding, CA 96003
Phone:
530-275-1587
Hours:
Monday, Thursday, and Friday, 8:30 am - 12:00 pm and 1:00 pm - 4:00 pm; Closed Wednesday, Saturday, and Sunday (Closed on
federal holidays
)",40.80030183,-122.3191469,"Located 19 miles north of Redding. From I-5, take exit 695 OBrien/Shasta Caverns exit. Turn right at end of off ramp. Continue along Shasta Caverns road for four tenths of a mile to the Bailey Cove junction on the right side of the road. Turn right and follow road about six tenths of a mile to the campground on the right.",Restrooms are available at this site.,Potable water is available at this site.,,,True
6,Beegum Gorge Campground,https://www.fs.usda.gov/r05/shasta-trinity/recreation/beegum-gorge-campground,Shasta-Trinity National Forest,https://www.fs.usda.gov/r05/shasta-trinity,,No Fees are required for this site.,,"Hayfork Ranger Station
Address:
11 Trinity Street Hayfork, CA 96041
Phone:
530-628-5227
Hours:
Monday-Friday, 8:00 am - 4:30 pm; Closed Saturday and Sunday (Closed on
federal holidays
)",40.31347,-122.93388,,Restrooms are available at this site.,Potable water is not available at this site.,,,False
7,Big Flat Campground,https://www.fs.usda.gov/r05/shasta-trinity/recreation/big-flat-campground,Shasta-Trinity National Forest,https://www.fs.usda.gov/r05/shasta-trinity,Open all year.,"Overnight Use:
Single Site: $12 per night
$12 per site.","Contact Name:
Weaverville Ranger Station
Contact Phone:
530-623-2121","Weaverville Ranger Station
Address:
360 Main Street Weaverville, CA 96093
Phone:
530-623-2121
Hours:
Monday-Friday, 8:00 am - 1:00 pm and 1:45 pm - 4:30 pm; Closed Saturday and Sunday (Closed on
federal holidays
)",40.7393,-123.2034,"From Big Bar Ranger Station, travel east on Hwy 299 three miles to the small town of Big Flat. Continue on Hwy 299 approximately 1 more mile to Wheel Gulch Road. Turn right at the Forest Service sign onto Wheel Gulch Road, driving up the entrance to the campground.",Restrooms are available at this site.,Potable water is not available at this site.,,,False
8,Big Slide Campground,https://www.fs.usda.gov/r05/shasta-trinity/recreation/big-slide-campground,Shasta-Trinity National Forest,https://www.fs.usda.gov/r05/shasta-trinity,. - .,No fees are required for this site,,"Hayfork Ranger Station
Address:
11 Trinity Street Hayfork, CA 96041
Phone:
530-628-5227
Hours:
Monday-Friday, 8:00 am - 4:30 pm; Closed Saturday and Sunday (Closed on
federal holidays
)",40.66458438,-123.4974892,From Hayfork take Hyampom Rd until it splits in Hyampom. Then take Lower South Fork Road across the bridge and past the private residences to the campground.,Restrooms are available at this site.,Potable water is not available at this site.,,,True
9,Bridge Camp Campground,https://www.fs.usda.gov/r05/shasta-trinity/recreation/bridge-camp-campground,Shasta-Trinity National Forest,https://www.fs.usda.gov/r05/shasta-trinity,Open year round.,"Overnight Use:
Single Site: $16 per night
Additional Vehicle Fee: $8 per vehicle per night",,,40.87287582,-122.9153598,"From Weaverville, take State 3 north for 13 miles. Cross over the Stuart Fork Bridge. Turn left onto Trinity Alps Resort Road. Drive slowly through the resort and continue the next two miles is on a dirt road. The road ends at the campground.",Restrooms are available at this site.,Water only available Memorial Day Weekend to October 31st.,,,False
10,Burnt Ranch Campground,https://www.fs.usda.gov/r05/shasta-trinity/recreation/burnt-ranch-campground,Shasta-Trinity National Forest,https://www.fs.usda.gov/r05/shasta-trinity,Call Weaverville Ranger Station for Open & Close dates,"Overnight Use:
Single Site: $12 per night",,,40.82799522,-123.4823004,,Restrooms are available at this site.,Potable water is not available at this site.,,,False
