,site_name,site_url,park_name,park_url,season_of_use,fee_info,contact_info,info_center,latitude,longitude,directions,restrooms,water,overview,amenities,body_of_water
0,Aikens Creek West Campground,https://www.fs.usda.gov/r05/sixrivers/recreation/aikens-creek-west-campground,Six Rivers National Forest,https://www.fs.usda.gov/r05/sixrivers,Open all year,No fees are required for this site,"Contact Name:
Orleans/Ukonom District Office
Contact Phone:
(530) 627-3291","Orleans / Ukonom
Address:
1 Ishi Pishi Road Orleans, CA 95556
Phone:
(530) 627-3291
Hours:
Monday-Friday, 9am-5pm; Closed weekends.  (Closed on
federal holidays
)",41.22935563,-123.65804925,,Restrooms are not available at this site.,Potable water is not available at this site.,,,False
1,Bailey Canyon Campground,https://www.fs.usda.gov/r05/sixrivers/recreation/bailey-canyon-campground,Six Rivers National Forest,https://www.fs.usda.gov/r05/sixrivers,5/19/25-9/8/25. Closed during winter months.,"Overnight Use:
Single Site: $12 per night
Additional Vehicle Fee: $5 per vehicle per night
$12 per night, $5 extra vehicles. Cash (exact change) or check, made out to USDA (United States Department of Agriculture).",,,40.3404672,-123.3995971,,Restrooms are available at this site.,Potable water is not available at this site.,,,False
2,Bear Basin Butte Lookout / Pierson Cabin,https://www.fs.usda.gov/r05/sixrivers/recreation/bear-basin-butte-lookout-pierson-cabin,Six Rivers National Forest,https://www.fs.usda.gov/r05/sixrivers,,"Overnight Use: $75 per night, rate is for 1 to 8 persons; $5 per night for each additional person over 8, paid directly to the facility (usually when picking up the key). The maximum occupancy is 12 persons.
$75 per night. Rate is for 1 to 8 persons; there is a fee of $5 per night for each additional person over 8, paid directly to the facility (usually when picking up the key). The maximum occupancy is 12 persons.",,,41.809051,-123.742189,,Restrooms are available at this site.,Potable water is not available at this site.,,,False
3,Big Flat Campground,https://www.fs.usda.gov/r05/sixrivers/recreation/big-flat-campground,Six Rivers National Forest,https://www.fs.usda.gov/r05/sixrivers,5/17/25-10/20/25. Closed during winter months.,"Day Use:
$8 per vehicle per day
Additional Vehicle Fee: $5 per vehicle per night
$8 per vehicle, $5 per extra vehicle",,,41.6875,-123.9080556,"From the visitor center turn right onto 199 and drive 7.2 miles west. Turn left onto to South Fork Road (County Road 427). The sign will also read Howland Hill Scenic Drive, Stout Grove, and Myrtle Beach. Go ½ mile and bear left at the “Y” intersection to stay on South Fork Road. Continue for 14 miles and turn left on County Road 405. Campground entrance is 1/4 mile on the left.",Restrooms are available at this site.,Potable water is not available at this site.,,,False
4,Boise Creek Campground,https://www.fs.usda.gov/r05/sixrivers/recreation/boise-creek-campground,Six Rivers National Forest,https://www.fs.usda.gov/r05/sixrivers,5/14/25-10/14/25. Closed during winter months.,"Day Use:
$5 per vehicle per day
Overnight Use:
Single Site: $10  per night
Additional Vehicle Fee: $5 per vehicle per night
$10 camping fee - $5 for extra vehicle, $5 day-use fee for day use of campsites. Cash (exact change) and check, made out to USDA (United States Department of Agriculture)",,,40.94450265,-123.65795189,"From Willow Creek, California, take State Route 299 for 2 miles west. Enter the campground directly from the highway.",Restrooms are available at this site.,Potable water is available at this site.,,,False
5,Dillon Creek Campground,https://www.fs.usda.gov/r05/sixrivers/recreation/dillon-creek-campground,Six Rivers National Forest,https://www.fs.usda.gov/r05/sixrivers,5/14/25-10/14/25,"Day Use:
$5 per vehicle per day
Overnight Use:
Single Site: $10 per night
Additional Vehicle Fee: $5 per vehicle per night
$10 per night for camping; $5 extra vehicle fee; $5 for day use. Envelopes are available at the fee board.",,,41.57424742,-123.5408186,"From the South, take State Route 96 North ( off of State Route 299 in Willow Creek) and proceed for 60.2 miles. The campground will be on the left hand side.From the North (Interstate 5), take State Route 96 south west, past Happy Camp, for 85.7 miles. The campground will be on the right hand side.",Restrooms are available at this site.,Potable water is available at this site.,,,True
6,E-Ne-Nuck Campground,https://www.fs.usda.gov/r05/sixrivers/recreation/e-ne-nuck-campground,Six Rivers National Forest,https://www.fs.usda.gov/r05/sixrivers,5/14/25-10/14/25. Closed during the winter months.,"Overnight Use:
Camping: $10 per night
$10 per night for camping.",,,41.23419196,-123.65991222,,Restrooms are available at this site.,Potable water is not available at this site.,,,False
7,East Fork Campground,https://www.fs.usda.gov/r05/sixrivers/recreation/east-fork-campground,Six Rivers National Forest,https://www.fs.usda.gov/r05/sixrivers,,"Day Use:
$4 per vehicle per day
Overnight Use:
Single Site: $8 per night
Additional Vehicle Fee: $5 per vehicle per night
$8 camping fee - $5 for extra vehicle, $4 day-use fee in campground area. Cash (exact change) or check, made out to USDA (United States Department of Agriculture)",,,40.90465,-123.706055,,Restrooms are available at this site.,Potable water is not available at this site.,,,False
8,Fir Cove Campground,https://www.fs.usda.gov/r05/sixrivers/recreation/fir-cove-campground,Six Rivers National Forest,https://www.fs.usda.gov/r05/sixrivers,5/19/25-9/8/25. Closed during winter months.,"Overnight Use:
Single Site: $12 per night
Additional Vehicle Fee: $5 per vehicle per night
$12 per night, $5 per extra vehicle. Cash (exact change) or check, made out to USDA (United States Department of Agriculture)",,,40.34417,-123.40306,,Restrooms are available at this site.,Potable water is not available at this site.,,,False
9,Fish Lake Campground,https://www.fs.usda.gov/r05/sixrivers/recreation/fish-lake-campground,Six Rivers National Forest,https://www.fs.usda.gov/r05/sixrivers,"~ 6/1/25 - ~ 10/14/25. Dates may vary due to wet weather and/or Port Otford Cedar
root disease. For updates call (530) 627-3291. Closed for winter months.","Day Use:
$5 per vehicle per day
Overnight Use:
Single Site: $10 per night
Additional Vehicle Fee: $5 per vehicle per night
$10 per night for camping; $5 per extra vehicle; $5.00 day use fee.",,,41.26577079,-123.68400472,"From the West, follow Highway 101, just one mile North of Arcata. Follow California State Route 299 East for 30 miles to Willow Creek. Take State Highway 96 North 30 miles to Weitchpec. Continue 4 miles to Bluff Creek Road (Forest Road 13N01). Follow Bluff Creek Road 5 miles to Fish Lake Road, Forest Road 10N12 (turn off on right) and continue for 3 miles to Campground entrance.From the East, turn on to State Route 299 in Redding, and proceed West for about 95 miles to Willow Creek. Take State Highway 96 North 30 miles to Weitchpec. Continue 4 miles to Bluff Creek Road (Forest Road 13N01). Follow Bluff Creek Road 5 miles to Fish Lake Road, Forest Road 10N12 (turn off on right) and continue for 3 miles to Campground entrance.",Restrooms are available at this site.,Potable water is not available at this site.,,,True
10,Grassy Flat Campground,https://www.fs.usda.gov/r05/sixrivers/recreation/grassy-flat-campground,Six Rivers National Forest,https://www.fs.usda.gov/r05/sixrivers,5/17/25-9/19/25. Closed for winter months.,"Day Use: $5
$10 per campsite
Includes one vehicle. Additional $5 fee charged for a second vehicle (maximum of two vehicles per site).
$10 per campsite; this includes one vehicle. There is a $5 charge for a second vehicle (maximum of two vehicles per site). $5 day use fee.",,,41.85666667,-123.8869444,From the Visitor Center turn left on Highway 199 and drive 4.5 miles east.,Restrooms are available at this site.,Potable water is not available at this site.,,,False
