,site_name,site_url,park_name,park_url,season_of_use,fee_info,contact_info,info_center,latitude,longitude,directions,restrooms,water,overview,amenities,body_of_water
0,Backpacker's Walk-In Campground,https://www.fs.usda.gov/r05/stanislaus/recreation/backpackers-walk-campground,Stanislaus National Forest,https://www.fs.usda.gov/r05/stanislaus,,"Overnight Use:
Single Site: $31 per night
$31 per night",,,38.4825,-119.987,,Restrooms are available at this site.,Potable water is not available at this site.,,,False
1,Baker Campground,https://www.fs.usda.gov/r05/stanislaus/recreation/baker-campground,Stanislaus National Forest,https://www.fs.usda.gov/r05/stanislaus,April - Early October,"Overnight Use:
Single Site: $25 per night
Group Site: $50 per night
Kennedy Meadows Resort and Pack Station operate Baker Campground and charge the following fees:
$25.00 for a single-family site
$50.00 for a double-family site
Kennedy Meadows Resort operates this campground under a special use permit administered by the Forest Service. The fees paid by concessionaires finance the refurbishment of facilities in the campgrounds they operate.  The Interagency Senior and Interagency Access Passes are honored and provide a 50 percent discount on camping fees in the campground. Discount does not apply to double or group sites. Pass number must be written on fee envelope or Pass must be shown to Host.  The Interagency Annual and Volunteer passes do not provide any discounts on camping. Passes are not accepted for double sites.",,,38.3241,-119.7525923,,Restrooms are available at this site.,Potable water is not available at this site.,,,False
2,Beardsley Dam Campground,https://www.fs.usda.gov/r05/stanislaus/recreation/beardsley-dam-campground,Stanislaus National Forest,https://www.fs.usda.gov/r05/stanislaus,April - October,"Overnight Use:
Single Site: $30 per night
The Forest Service operates Beardsley Dam Campground and charges the following fees: New campsite fee prices, 2024 & 2025 $25 per night for single site, $55 per night for double site; In 2026  fee raises to $30 per night for single site and $60 per night for double site. The America the Beautiful, Interagency Senior and Access Passes are honored and receive 50% off the nightly rate. Only applicable to the single site the pass holder occupies.  Pass number must be written on fee envelope. The Interagency Annual and Volunteer passes do not provide any discounts on camping.","Contact Name:
Summit Ranger Station
Contact Phone:
209-965-3434",,38.210776,-120.075095,,Restrooms are available at this site.,Potable water is not available at this site.,,,True
3,Big Meadow Campground,https://www.fs.usda.gov/r05/stanislaus/recreation/big-meadow-campground,Stanislaus National Forest,https://www.fs.usda.gov/r05/stanislaus,,"Overnight Use:
Single Site: $30 per night
The Forest Service operates the Big Meadow Campground and charges the following fees: New campsite fee prices, 2024 & 2025 $25 per night and fee raises to $30 per night in 2026.   The America the Beautiful, Interagency Senior and Access Passes are honored and receive 50% off the nightly rate. Only applicable to the single site the pass holder occupies.  Pass number must be written on fee envelope. The Interagency Annual and Volunteer passes do not provide any discounts on camping.",,,38.416835,-120.106472,,Restrooms are available at this site.,Potable water is not available at this site.,,,False
4,Big Meadow Group Campground,https://www.fs.usda.gov/r05/stanislaus/recreation/big-meadow-group-campground,Stanislaus National Forest,https://www.fs.usda.gov/r05/stanislaus,,"Overnight Use:
Group Site:  $100 per night
New fee prices in 2024 & 2025 $75 per night and in 2026 price increase to $100 per night. America the Beautiful pass discount not allowed on group camp reservations.",,,38.415913,-120.111316,,Restrooms are available at this site.,,,,False
5,Bloomfield Campground,https://www.fs.usda.gov/r05/stanislaus/recreation/bloomfield-campground,Stanislaus National Forest,https://www.fs.usda.gov/r05/stanislaus,,"Overnight Use:
Single Site: $25 per night
The Forest Service operates the Bloomfield Campground and charges the following fees: New campsite fee prices, 2024 & 2025 $20 per night and fee raises to $25 per night in 2026.   The America the Beautiful, Interagency Senior and Access Passes are honored and receive 50% off the nightly rate. Only applicable to the single site the pass holder occupies.  Pass number must be written on fee envelope. The Interagency Annual and Volunteer passes do not provide any discounts on camping.",,,38.538207,-119.825566,"Take Highway 4 to Highland Lakes Road; follow Highland Lakes Road one mile south to the campground. The turnoff from Highway 4 onto Highland Lakes Road is 47 miles from the Calaveras Ranger Station in Hathaway Pines, California.",Restrooms are available at this site.,Potable water is not available at this site.,,,False
6,Boulder Flat Campground,https://www.fs.usda.gov/r05/stanislaus/recreation/boulder-flat-campground,Stanislaus National Forest,https://www.fs.usda.gov/r05/stanislaus,June - October,"Overnight Use:
Single Site: $25 per night
Group Site: $44 per night
Dodge Ridge Corporation operates Boulder Flat Campground and charges the following fees: Cash only.
$25.00 for a single-family site
$44.00 for a double-family site
The Interagency Senior and Interagency Access Passes are honored and provide a 50 percent discount on camping fees in the campground.  Pass number must be written on fee envelope, or Pass must be shown to Host. The Interagency Annual and Volunteer passes do not provide any discounts on camping. Dodge Ridge Corporation operates this campground under a special",,,38.3546,-119.861355,,,Potable water is not available at this site.,,,False
7,Brightman Flat Campground,https://www.fs.usda.gov/r05/stanislaus/recreation/brightman-flat-campground,Stanislaus National Forest,https://www.fs.usda.gov/r05/stanislaus,May - October,"Overnight Use:
Single Site: $25 per night
Dodge Ridge Corporation operates Brightman Campground and charges the following fees: Cash Only
$25.00 for a single-family site
The Interagency Senior and Interagency Access Passes are honored and provide a 50 percent discount on camping fees in the campground.  Pass number must be written on fee envelope or Pass must be shown to Host. The Interagency Annual and Volunteer passes do not provide any discounts on camping. Dodge Ridge Corporation operates this campground under a special use permit administered by the Forest Service. The fees paid by concessionaires finance the refurbishment of facilities in the campgrounds they operate.","Contact Name:
Dodge Ridge Mountain Resort
Contact Phone:
(209) 965-3474",,38.3525,-119.8491,,,Potable water is not available at this site.,,,False
8,Cascade Creek Campground,https://www.fs.usda.gov/r05/stanislaus/recreation/cascade-creek-campground,Stanislaus National Forest,https://www.fs.usda.gov/r05/stanislaus,May - October,"Overnight Use:
Single Site: $20 per night
The Forest Service operates the Cascade Creek Campground and charges the following fees: New campsite fee prices, 2024 & 2025 $15 per night and fee raises to $20 per night in 2026.   The America the Beautiful, Interagency Senior and Access Passes are honored and receive 50% off the nightly rate. Only applicable to the single site the pass holder occupies.  Pass number must be written on fee envelope. The Interagency Annual and Volunteer passes do not provide any discounts on camping.","Contact Name:
Summit Ranger Station
Contact Phone:
209-965-3434","Summit and Miwok Ranger District
Address:
#1 Pinecrest Lake Road Pinecrest, CA 95364
Phone:
(209) 965-3434
Hours:
Summer Hours: Tuesday - Saturday, 9:00 am - 3:00 pm. Open July 4th. Closed June 19th. (Closed on
federal holidays
)",38.279585,-119.972954,,Restrooms are available at this site.,Potable water is not available at this site.,,,False
9,Cherry Valley Campground,https://www.fs.usda.gov/r05/stanislaus/recreation/cherry-valley-campground,Stanislaus National Forest,https://www.fs.usda.gov/r05/stanislaus,May - September,"Overnight Use:
Single Site: $29 per night
Double Site: $58 per night
American Land & Leisure operates this campground under a special use permit administered by the Forest Service. The fees paid by concessionaires finance the refurbishment of facilities in the campgrounds they operate.",,,37.980982,-119.921399,"Travel from Tuolumne, California:Take Buchanan Road, which turns into Cottonwood Road (Forest Road 1N04). Travel approximately 30 miles to the Cherry Valley Campground sign, then turn left into the campground.",Restrooms are available at this site.,Potable water is not available at this site.,,,True
