,site_name,site_url,park_name,park_url,season_of_use,fee_info,contact_info,info_center,latitude,longitude,directions,restrooms,water,overview,amenities
0,Ahart Campground,https://www.fs.usda.gov/r05/tahoe/recreation/ahart-campground,Tahoe National Forest,https://www.fs.usda.gov/r05/tahoe,June - November,"Overnight Use:
Single Site: $20/night.
Additional Vehicle: $5/night.
Interagency Senior/Access Recreation Passes provide a 50% discount to Single Campsites ONLY.
*The discount applies only to the fee for the campsite physically occupied by the pass holder, not to any additional fee or campsite(s) occupied by members of the pass holder's party.*
https://store.usgs.gov/recreational-passes
Please be prepared to pay with CASH or CHECK.
*Sites may be reservable and reservation fees apply.*
$20 per site",,,39.145971,-120.408302,"From Foresthill: Drive 36 miles east on Mosquito Ridge Road (Forest Road 96). Campground is on Middle American River, 1 mile north of French Meadows Reservoir.",Restrooms are available at this site.,Potable water is not available at this site.,,
1,Bear Valley Campground,https://www.fs.usda.gov/r05/tahoe/recreation/bear-valley-campground,Tahoe National Forest,https://www.fs.usda.gov/r05/tahoe,,"No Fees are required for this site.
Free",,,39.5572,-120.23688,From Truckee: Drive 17 miles north on Hwy 89 to Little Truckee Summit. Drive 6 miles east of Little Truckee Summit on Cottonwood Creek Road.,Restrooms are available at this site.,Potable water is not available at this site.,,
2,Berger Campground,https://www.fs.usda.gov/r05/tahoe/recreation/berger-campground,Tahoe National Forest,https://www.fs.usda.gov/r05/tahoe,June 13 - October 13,"Overnight Use:
Single Site: $20/night.
Additional Vehicle: $5/night.
Interagency Senior/Access Recreation Passes provide a 50% discount to Single Campsites ONLY.
*The discount applies only to the fee for the campsite physically occupied by the pass holder, not to any additional fee or campsite(s) occupied by members of the pass holder's party.*
https://store.usgs.gov/recreational-passes
Please be prepared to pay with CASH or CHECK.
*Sites may be reservable and reservation fees apply.*
$20 per site
$5 for extra vehicle",,,39.628284,-120.644409,From 89 N to 49 N: Drive 13 miles west to Bassett's Station. Turn right on Gold Lake Hwy and drive 1/2 mile to Packer Lake Road. Turn left and drive 2 miles to Berger Campground.,Restrooms are available at this site.,Potable water is not available at this site.,,
3,Big Bend Group Campground,https://www.fs.usda.gov/r05/tahoe/recreation/big-bend-group-campground,Tahoe National Forest,https://www.fs.usda.gov/r05/tahoe,,"Overnight Use:
Group Site: $99/night.
Please be prepared to pay with CASH or CHECK.
*Sites may be reservable and reservation fees apply.*
$99 per site",,,39.306572,-120.517971,From I-80 west: Take Rainbow Road exit and continue west 1 1/2 miles to campground.,Restrooms are available at this site.,Potable water is not available at this site.,,
4,Big Reservoir Campground,https://www.fs.usda.gov/r05/tahoe/recreation/big-reservoir-campground,Tahoe National Forest,https://www.fs.usda.gov/r05/tahoe,May 24 - September 3,"Overnight Use:
Single Site: $24/night.
Please be prepared to pay with CASH or CHECK.
*Sites may be reservable and reservation fees apply.*",,,39.143597,-120.756325,,Restrooms are available at this site.,Potable water is not available at this site.,,
5,Boca Campground,https://www.fs.usda.gov/r05/tahoe/recreation/boca-campground,Tahoe National Forest,https://www.fs.usda.gov/r05/tahoe,May 24 - October 14,"Overnight Use:
Single Site: $20/night.
Additional Vehicle: $5/night.
Interagency Senior/Access Recreation Passes provide a 50% discount to Single Campsites ONLY.
*The discount applies only to the fee for the campsite physically occupied by the pass holder, not to any additional fee or campsite(s) occupied by members of the pass holder's party.*
https://store.usgs.gov/recreational-passes
Please be prepared to pay with CASH or CHECK.
*Sites may be reservable and reservation fees apply.*
$20 per site",,,39.392835,-120.105751,"From Interstate 80, take Hirschdale Road exit (exit 194) and proceed north on Hirschdale Road for one mile. Turn left onto Boca Dam Reservoir Road and proceed west for 0.6 miles. After the dam bear right on to Boca Road for 0.6 miles. Boca Campground is on the right.",Restrooms are available at this site.,Potable water is not available at this site.,,
6,Boca Rest Campground,https://www.fs.usda.gov/r05/tahoe/recreation/boca-rest-campground,Tahoe National Forest,https://www.fs.usda.gov/r05/tahoe,May 24 - October 14,"Overnight Use:
Single Site: $20/night.
Additional Vehicle: $5/night.
Interagency Senior/Access Recreation Passes provide a 50% discount to Single Campsites ONLY.
*The discount applies only to the fee for the campsite physically occupied by the pass holder, not to any additional fee or campsite(s) occupied by members of the pass holder's party.*
https://store.usgs.gov/recreational-passes
Please be prepared to pay with CASH or CHECK.
*Sites may be reservable and reservation fees apply.*
$20 per site",,,39.419302,-120.086302,"From Interstate 80, take the Hirschdale exit. Drive north on Hirschdale road about 3 miles to the campground.",Restrooms are available at this site.,Potable water is not available at this site.,,
7,Boca Springs Campground,https://www.fs.usda.gov/r05/tahoe/recreation/boca-springs-campground,Tahoe National Forest,https://www.fs.usda.gov/r05/tahoe,May 24 - October 14,"Overnight Use:
Single Site: $20/night.
Additional Vehicle: $5/night.
Group Site: $66/night (25 people).
Interagency Senior/Access Recreation Passes provide a 50% discount to Single Campsites ONLY.
*The discount applies only to the fee for the campsite physically occupied by the pass holder, not to any additional fee or campsite(s) occupied by members of the pass holder's party.*
https://store.usgs.gov/recreational-passes
Please be prepared to pay with CASH or CHECK.
*Sites may be reservable and reservation fees apply.*
$20 per site
$5 for extra vehicle
$66.00 per night for group site",,,39.427781,-120.075324,"Directions from Truckee: Travel east on I-80 for approximately 6 miles. Take Hirschdale exit. Turn left onto County Route #894. Travel approximately 2.5 miles north and when you reach Boca Rest campground, turn right onto the dirt road (Forest Route #72). Travel approximately 0.75 mile staying to the left and you will arrive at Boca Springs campground.",Restrooms are available at this site.,Potable water is not available at this site.,,
8,Boyington Mill Campground,https://www.fs.usda.gov/r05/tahoe/recreation/boyington-mill-campground,Tahoe National Forest,https://www.fs.usda.gov/r05/tahoe,May 24 - October 14,"Overnight Use:
Single Site: $20/night.
Additional Vehicle: $5/night.
Interagency Senior/Access Recreation Passes provide a 50% discount to Single Campsites ONLY.
*The discount applies only to the fee for the campsite physically occupied by the pass holder, not to any additional fee or campsite(s) occupied by members of the pass holder's party.*
https://store.usgs.gov/recreational-passes
Please be prepared to pay with CASH or CHECK.
*Sites may be reservable and reservation fees apply.*
$20 per site
$5 for extra vehicle",,,39.438329,-120.088813,"From Truckee: Go east approximately six miles and take Hirschdale exit. Take a left going north and drive 5 miles on Boca/Stampede Road. Campground is located on the left on the Little Truckee River, 4 miles north of Boca Dam.",Restrooms are available at this site.,Potable water is not available at this site.,,
9,Cal Ida Campground,https://www.fs.usda.gov/r05/tahoe/recreation/cal-ida-campground,Tahoe National Forest,https://www.fs.usda.gov/r05/tahoe,April 17 - October 13,"Overnight Use:
Single Site: $24/night.
Additional Vehicle: $5/night.
Interagency Senior/Access Recreation Passes provide a 50% discount to Single Campsites ONLY.
*The discount applies only to the fee for the campsite physically occupied by the pass holder, not to any additional fee or campsite(s) occupied by members of the pass holder's party.*
https://store.usgs.gov/recreational-passes
Please be prepared to pay with CASH or CHECK.
*Sites may be reservable and reservation fees apply.*
$24 per site
$5 for extra vehicle",,,39.52025302,-120.9970795,From Camptonville: Drive 9 miles on Hwy 49. Take Cal-Ida Road where it joins 49.,Restrooms are available at this site.,Potable water is not available at this site.,,
10,Canyon Creek Campground,https://www.fs.usda.gov/r05/tahoe/recreation/canyon-creek-campground,Tahoe National Forest,https://www.fs.usda.gov/r05/tahoe,,"No Fees are required for this site.
Free",,,39.43744979,-120.5799479,"From Hwy 89 North: Take the turn onto Forest Road 7 (Little Truckee Summit). Continue 16 miles west to Jackson Meadow Reservoir.  Turn onto County road 956 and follow for approximately  3 miles. Turn right onto County road 843 (Meadow Lake Road) and follow for approximately 2 miles. At this point the road becomes very rough and rocky, low clearance vehicles and trailers are not recommended. Turn left onto County road 843-037 (Just past Jackson Creek Campground) and follow for approximately 2 miles until you reach Canyon Creek Campground.",Restrooms are available at this site.,Potable water is not available at this site.,,
11,Carlton Flat Campground,https://www.fs.usda.gov/r05/tahoe/recreation/carlton-flat-campground,Tahoe National Forest,https://www.fs.usda.gov/r05/tahoe,April 17 - October 13,"Overnight Use:
Single Site: $24/night.
Additional Vehicle: $5/night.
Interagency Senior/Access Recreation Passes provide a 50% discount to Single Campsites ONLY.
*The discount applies only to the fee for the campsite physically occupied by the pass holder, not to any additional fee or campsite(s) occupied by members of the pass holder's party.*
https://store.usgs.gov/recreational-passes
Please be prepared to pay with CASH or CHECK.
*Sites may be reservable and reservation fees apply.*
$24 per site
$5 for extra vehicle",,,39.51940619,-120.9998069,From Camptonville: Drive 9 miles northeast on Hwy 49. Campground is on North Yuba River.,Restrooms are available at this site.,Potable water is not available at this site.,,
12,Carr Lake Campground,https://www.fs.usda.gov/r05/tahoe/recreation/carr-lake-campground,Tahoe National Forest,https://www.fs.usda.gov/r05/tahoe,May 27 - October 15,"Overnight Use:
Single Site: $15/night.
Interagency Senior/Access Recreation Passes provide a 50% discount to Single Campsites ONLY.
*The discount applies only to the fee for the campsite physically occupied by the pass holder, not to any additional fee or campsite(s) occupied by members of the pass holder's party.*
https://store.usgs.gov/recreational-passes
Please be prepared to pay with CASH or CHECK.
*Sites may be reservable and reservation fees apply.*
$15.00 per site",,,39.402191,-120.643034,"From I-80: Take Hwy 20 exit and follow Hwy 20 headed west for approximately 5 miles. Turn right on Bowman Lake Road (Forest Road 18). Stay on that road (windy, with tight corners and narrow spots, but paved) for approximately 6 miles and turn right on Forest Road 17, an unimproved dirt road (not recommended for low vehicles). Stay to the right for 3 miles, until reaching the parking area.",Restrooms are available at this site.,Potable water is not available at this site.,,
13,Chapman Creek Campground,https://www.fs.usda.gov/r05/tahoe/recreation/chapman-creek-campground,Tahoe National Forest,https://www.fs.usda.gov/r05/tahoe,June 14 - October 31,"Overnight Use:
Single Site: $24/night.
Additional Vehicle: $5/night.
Interagency Senior/Access Recreation Passes provide a 50% discount to Single Campsites ONLY.
*The discount applies only to the fee for the campsite physically occupied by the pass holder, not to any additional fee or campsite(s) occupied by members of the pass holder's party.*
https://store.usgs.gov/recreational-passes
Please be prepared to pay with CASH or CHECK.
*Sites may be reservable and reservation fees apply.*
$24 per site
$5 for extra vehicle",,,39.629588,-120.544682,From Sierra City: Drive 8 miles northeast on Hwy 49.  Campground is across the road from North Yuba River.,Restrooms are available at this site.,Potable water is not available at this site.,,
14,Cold Creek Campground,https://www.fs.usda.gov/r05/tahoe/recreation/cold-creek-campground,Tahoe National Forest,https://www.fs.usda.gov/r05/tahoe,May 24 - October 14,"Overnight Use:
Single Site: $16/night.
Additional Vehicle: $5/night.
Interagency Senior/Access Recreation Passes provide a 50% discount to Single Campsites ONLY.
*The discount applies only to the fee for the campsite physically occupied by the pass holder, not to any additional fee or campsite(s) occupied by members of the pass holder's party.*
https://store.usgs.gov/recreational-passes
Please be prepared to pay with CASH or CHECK.
*Sites may be reservable and reservation fees apply.*
$16 per site
$5 for extra vehicle",,,39.54363543,-120.3155159,From Truckee: Take Interstate 80 north to Highway 89 approximately 20 miles. The Campground is on the left side of the highway.,Restrooms are available at this site.,Potable water is not available at this site.,,
15,Cottonwood Creek Campground,https://www.fs.usda.gov/r05/tahoe/recreation/cottonwood-creek-campground,Tahoe National Forest,https://www.fs.usda.gov/r05/tahoe,May 24 - October 14,"Overnight Use:
Single Site: $20/night.
Additional Vehicle: $5/night.
Interagency Senior/Access Recreation Passes provide a 50% discount to Single Campsites ONLY.
*The discount applies only to the fee for the campsite physically occupied by the pass holder, not to any additional fee or campsite(s) occupied by members of the pass holder's party.*
https://store.usgs.gov/recreational-passes
Please be prepared to pay with CASH or CHECK.
*Sites may be reservable and reservation fees apply.*
$20.00 per site
$5 for extra vehicle",,,39.54867747,-120.3196865,From Truckee: Travel north on Interstate 80 to Highway 89 approximately 20 miles.,Restrooms are available at this site.,Potable water is not available at this site.,,
16,Coyote Group Campground,https://www.fs.usda.gov/r05/tahoe/recreation/coyote-group-campground,Tahoe National Forest,https://www.fs.usda.gov/r05/tahoe,June - September,"Overnight Use:
Group Site: $82/night (25 people), $143/night (50 people).
Please be prepared to pay with CASH or CHECK.
*Sites may be reservable and reservation fees apply.*
$82 for 25 person site, $143 for 50 person site",,,39.136388,-120.40932,,Restrooms are available at this site.,Potable water is not available at this site.,,
